SNID,CID,n_entries,mean_z,min_z,max_z,logMstar,mean_mu_resid,std_mu_resid,mean_H0_proxy,is_calibrator,used_in_shoes_hf,abs_mean_mu_resid,nearby_bonus,priority_score
2007ux,2007ux,2,0.03264,0.03264,0.03264,10.0948,0.09016265033531035,0.15216937931134708,64.738155875238,0,1,0.09016265033531035,0.0,7.360650601341241
2009cz,2009cz,2,0.02343,0.02343,0.02343,10.5159,-0.0900748801167754,0.0,70.25461732922183,0,1,0.0900748801167754,0.0,7.360299520467102
2007kk,2007kk,2,0.04285,0.04285,0.04285,10.8891,-0.06069697463210305,0.031819805153395844,69.31426217911223,0,1,0.06069697463210305,0.0,7.242787898528412
2006ac,2006ac,2,0.02432,0.02432,0.02432,11.1921,-0.0606273054361725,0.024112341238457877,69.3104541980615,0,1,0.0606273054361725,0.0,7.24250922174469
2001ah,2001ah,2,0.05886,0.05886,0.05886,10.5719,0.0584447038318406,0.1172383043207276,65.65795698707215,0,1,0.0584447038318406,0.0,7.233778815327362
2006en,2006en,2,0.03162,0.03162,0.03162,10.183,0.05359142620952715,0.02637508293825957,65.75936773941729,0,1,0.05359142620952715,0.0,7.214365704838109
2005hc,2005hc,2,0.04575,0.04575,0.04575,7.0,0.05157813411773125,0.035708892449920294,65.82238734516643,0,1,0.05157813411773125,0.0,7.206312536470925
2008hj,2008hj,2,0.03682,0.03682,0.03682,9.9461,-0.045490082885647654,0.03153696244091684,68.83048246871999,0,1,0.045490082885647654,0.0,7.181960331542591
2007qe,2007qe,2,0.02357,0.02357,0.02357,8.34246,0.0343110622096763,0.0634274782724336,66.35754519692728,0,1,0.0343110622096763,0.0,7.137244248838705
2008gp,2008gp,2,0.03333,0.03333,0.03333,10.4696,-0.034019408434923806,0.04419417382415922,68.47132767736133,0,1,0.034019408434923806,0.0,7.136077633739696
2008gg,2008gg,2,0.03114,0.03114,0.03114,10.9334,0.026979075940341,0.091287485451184,66.59719488985505,0,1,0.026979075940341,0.0,7.107916303761364
1999gp,1999gp,2,0.02691,0.02691,0.02691,10.9727,0.0243746948497989,0.014424978336207123,66.6484031945063,0,1,0.0243746948497989,0.0,7.097498779399196
2001eh,2001eh,2,0.03725,0.03725,0.03725,11.1794,0.02241211201719475,0.009899494936613717,66.70827810645966,0,1,0.02241211201719475,0.0,7.089648448068779
2006ot,2006ot,2,0.05202,0.05202,0.05202,11.3736,-0.0201909554057859,0.2295268611731509,68.21973390724749,0,1,0.0201909554057859,0.0,7.080763821623144
2009ad,2009ad,2,0.02844,0.02844,0.02844,10.4871,-0.020126839155198,0.02114249275747622,68.02923025070689,0,1,0.020126839155198,0.0,7.080507356620792
PS15bbn,PS15bbn,1,0.03624,0.03624,0.03624,7.94021,0.2685129855723698,,59.56035798833797,0,1,0.2685129855723698,0.0,7.074051942289479
2003gn,2003gn,1,0.03375,0.03375,0.03375,7.0,0.2654654547633068,,59.64400604915594,0,1,0.2654654547633068,0.0,7.061861819053227
2992,2992,1,0.12623,0.12623,0.12623,9.72723,-0.264959514375187,,76.14682492999904,0,1,0.264959514375187,0.0,7.059838057500748
AT2017yk,AT2017yk,1,0.04691,0.04691,0.04691,10.0803,0.2649324274848705,,59.658648549031305,0,1,0.2649324274848705,0.0,7.059729709939482
PS16cvc,PS16cvc,1,0.02915,0.02915,0.02915,7.95752,0.2629330360192039,,59.71360477288692,0,1,0.2629330360192039,0.0,7.051732144076816
2008cf,2008cf,2,0.04682,0.04682,0.04682,8.91208,-0.0068060444049091,0.005020458146425336,67.61167353293004,0,1,0.0068060444049091,0.0,7.027224177619637
2007F,2007F,2,0.02417,0.02417,0.02417,9.63941,-0.003949126071857351,0.10033845225037087,67.55873363737015,0,1,0.003949126071857351,0.0,7.0157965042874295
ASASSN-16hz,ASASSN-16hz,1,0.02466,0.02466,0.02466,9.55271,-0.2501767267402943,,75.63019878400327,0,1,0.2501767267402943,0.0,7.000706906961177
1995ac,1995ac,1,0.0486,0.0486,0.0486,10.3844,-0.2424737025788292,,75.36238550206336,0,1,0.2424737025788292,0.0,6.969894810315317
2014bj,2014bj,1,0.04258,0.04258,0.04258,7.87303,0.2344556627503902,,60.50186524847464,0,1,0.2344556627503902,0.0,6.937822651001561
ASASSN-15pr,ASASSN-15pr,1,0.03264,0.03264,0.03264,9.55707,0.2251626503353119,,60.76134328225278,0,1,0.2251626503353119,0.0,6.900650601341248
2011iv,2011iv,1,0.00668,0.00668,0.00668,7.0,-0.9740259128965096,,105.55166274953127,0,0,0.9740259128965096,1.0,6.8961036515860386
