t,a,z,H,sigma,C_sigma_base,rho_m,rho_r,C_sigma,G_esc,G_leak,Sdot_struct,source_gated,throughput_raw,rho_DE_flux,Omega_DE_flux,w_flux
0.08502610420769398,0.17008253939146772,4.879498292875121,7.853086970470593,4.999936363038322,0.9919861783290003,60.97363133147506,0.10754830839714138,0.6191007797913778,0.3808992202086222,0.9982525058143367,0.28017616986926835,0.10653239399386145,0.002485229307611349,0.6307594120918497,0.010221027272546463,-1.0016454373081085
0.08518544510025443,0.17029530211003896,4.872152593815151,7.838506686930294,4.999936124608676,0.9919561528121909,60.74537992146514,0.1070118420804355,0.6187983408611443,0.38120165913885573,0.9982698657478382,0.2811963725491695,0.1070070663026391,0.0025022420917116097,0.6307633168815354,0.010259124081326402,-1.001655832854425
0.08534508237486763,0.17050833098158877,4.864816072289034,7.823954007966205,4.9999358852890845,0.9919260152242281,60.51798295795963,0.10647805173430666,0.6184964545720191,0.38150354542798093,0.9982870535204452,0.2822203309276352,0.10748362722182503,0.0025193624465836796,0.6307672463609625,0.010297361781500064,-1.001666290389494
0.08550501657187562,0.17072162633905744,4.857488716830607,7.809428882255911,4.999935645076243,0.9918957651490351,60.291437242386046,0.1059469240106331,0.6181951207953177,0.3818048792046823,0.9983040708336517,0.2832480608112181,0.10796208454950124,0.002536591015039161,0.6307712006776697,0.01033574088686909,-1.0016768102793112
0.08566524823254615,0.17093518851580267,4.850170515988004,7.794931258574161,4.999935403966834,0.9918654021688577,60.065739588144574,0.10541844562787306,0.6178943393926343,0.3821056606073657,0.9983209193722495,0.284279578091037,0.10844244612586616,0.002553928443702531,0.6307751799800708,0.010374261913063622,-1.001687392892137
0.08582577789907322,0.1711490178455991,4.842861458323664,7.780461085792754,4.999935161957529,0.9918349258644871,59.84088682056432,0.10489260337073517,0.6175941102159911,0.3824058897840089,0.9983376008044929,0.2853148987427671,0.10892471983328368,0.0025713753830352098,0.6307791844174604,0.010412925377548374,-1.0016980385985808
0.08598660611457773,0.17136311466263812,4.8355615324143475,7.766018312880415,4.999934919044991,0.9918043358157084,59.61687577685948,0.10436938408984979,0.6172944331080995,0.3827055668919005,0.998354116782257,0.28635403882661775,0.10940891359629357,0.0025889324873597567,0.6307832141400191,0.01045173179962877,-1.0017087477715545
0.08614773342310997,0.17157747930152992,4.828270726851057,7.751602888902495,4.9999346752258695,0.9917736316006287,59.39370330608311,0.10384877470143634,0.6169953079020583,0.38300469209794175,0.9983704689411964,0.2873970144872952,0.10989503538177638,0.0026066004148844204,0.6307872692988197,0.010490681700457525,-1.0017195207862717
0.08630916036965028,0.17179211209730338,4.820989030239049,7.7372147630208445,4.999934430496802,0.9917428127957895,59.17136626908358,0.10333076218697773,0.6166967344214471,0.3833032655785529,0.9983866589009036,0.28844384195394146,0.11038309319899703,0.0026243798277276243,0.6307913500458319,0.010529775603040841,-1.0017303580203816
0.08647088750010956,0.17200701338540555,4.813716431197846,7.722853884493702,4.9999341848544185,0.9917118789767252,58.94986153846145,0.10281533359289739,0.6163987124806443,0.38360128751935574,0.9984026882650633,0.28949453754004767,0.11087309509957292,0.0026422713919425677,0.630795456533929,0.010569014032244552,-1.0017412598538062
0.08663291536133191,0.17222218350170398,4.806452918361158,7.708520202675385,4.999933938295334,0.9916808297172928,58.72918599852363,0.10230247603023086,0.6161012418845249,0.38389875811547514,0.9984185586216063,0.29054911764336244,0.11136504917761744,0.0026602757775421966,0.6307995889168929,0.010608397514800808,-1.0017522266689316
0.08679524450109519,0.1724376227824864,4.799198480376899,7.69421366701618,4.999933690816156,0.9916496645901189,58.50933654524046,0.1017921766743057,0.6158043224287234,0.3841956775712766,0.9984342715428642,0.29160759874576697,0.11185896356970844,0.0026783936585240862,0.6308037473494204,0.01064792657931429,-1.001763258850455
0.08695787546811153,0.17265333156446028,4.791953105907193,7.67993422706221,4.999933442413476,0.9916183831661525,58.290310086202894,0.10128442276442287,0.6155079538994475,0.38449204610055254,0.9984498285857187,0.2926699974131281,0.11235484645497704,0.0026966257128954525,0.6308079319871279,0.010687601756268449,-1.0017743567854893
0.08712080881202999,0.17286931018475524,4.784716783628299,7.665681832455147,4.999933193083881,0.9915869850154475,58.07210354057729,0.10077920160353333,0.6152121360739042,0.38478786392609576,0.9984652312917521,0.2937363302951444,0.11285270605501496,0.002714972622698526,0.6308121429865587,0.010727423578032245,-1.0017855208636302
0.08728404508343715,0.1730855589809226,4.777489502230625,7.651456432932089,4.999932942823941,0.9915554697061566,57.85471383906292,0.10027650055792288,0.6149168687198356,0.38508313128016436,0.9984804811873961,0.2948066141251562,0.11335255063402752,0.002733435074035835,0.6308163805051876,0.010767392578866422,-1.0017967514767936
0.08744758483385758,0.173302078290935,4.770271250418741,7.63725797832544,4.999932691630217,0.9915238368052022,57.63813792384974,0.09977630705689809,0.6146221515958923,0.3853778484041077,0.9984955797840779,0.2958808657199349,0.113854388498733,0.002752013757095615,0.6308206447014272,0.010807509294929796,-1.0018080490194166
0.08761142861575649,0.17351886845318884,4.763062016911294,7.623086418562615,4.99993243949926,0.9914920858781644,57.4223727485735,0.09927860859246784,0.6143279844516124,0.3856720155483876,0.9985105285783671,0.2969591019794634,0.11435822799837322,0.002770709366177582,0.6308249357346337,0.010847774264286082,-1.0018194138883512
0.08777557698254035,0.1737359298065038,4.75586179044103,7.608941703665916,4.99993218642761,0.9914602164892811,57.20741527827389,0.09878339271903273,0.6140343670274613,0.3859656329725387,0.9985253290521191,0.298041339886679,0.11486407752469113,0.0027895225997186025,0.6308292537651131,0.010888188026910212,-1.0018308464828938
0.08794003048855735,0.17395326269012243,4.7486705597548005,7.594823783752426,4.999931932411792,0.9914282282012243,56.9932624893527,0.09829064705307586,0.6137412990547574,0.3862587009452426,0.9985399826726179,0.2991275965071946,0.11537194551193307,0.0028084541603184943,0.6308335989541267,0.010928751124694696,-1.0018423472048898
0.08810478968910028,0.174170867443713,4.741488313613476,7.580732609033679,4.999931677448326,0.991396120575436,56.77991136952915,0.09780035927284819,0.6134487802558758,0.3865512197441242,0.9985544908927185,0.30021788898901214,0.11588184043676504,0.002827504754766211,0.6308379714638974,0.010969464101456565,-1.0018539164585718
