z_leak,m,n,rho_floor_frac,lambda0,Omega_DE_0,Omega_DE_1090,w0,w_z1,w_z2,w_z3,hump_abs_z1_3,hump_signed_z2,score,pass_basic
7.0,8.0,1.0,0.9,0.2302682013888776,0.7000000000000001,1.2187283084634588e-09,-1.0141898256437183,-1.0305724346867544,-1.02639987388291,-1.0103663223108923,0.032775197177462134,-0.026399873882910097,0.141898256437184,True
8.0,6.0,1.0,0.9,0.23027435037680688,0.7000000000000001,1.2187283084634588e-09,-1.0141901786205365,-1.0305700301334042,-1.026374352901777,-1.0103270398888784,0.03276708048964383,-0.02637435290177703,0.1419017862053662,True
9.0,5.0,1.0,0.9,0.23031447333504276,0.7000000000000001,1.2187283084634588e-09,-1.014192535613056,-1.0305694033912143,-1.0263508865445545,-1.0103026232820702,0.032759405740383274,-0.02635088654455453,0.14192535613056,True
11.0,4.0,1.0,0.9,0.23037101742974503,0.7000000000000001,1.2187283084634588e-09,-1.0141954761820737,-1.0305631827080395,-1.0263180212509198,-1.010283231824084,0.032742226244768746,-0.026318021250919754,0.1419547618207384,True
7.0,7.0,1.0,0.9,0.23048416015988996,0.7000000000000001,1.2187283084634588e-09,-1.0142031280815784,-1.0306010268584826,-1.0264093441625737,-1.0103364824193328,0.03280325307833709,-0.026409344162573678,0.1420312808157853,True
10.0,4.0,1.0,0.9,0.23071897651090628,0.7000000000000001,1.2187283084634588e-09,-1.0142166318899495,-1.0306015003699855,-1.0263176505119076,-1.0102475321352258,0.0327738912148543,-0.026317650511907598,0.14216631889949594,True
8.0,5.0,1.0,0.9,0.23080679504786603,0.7000000000000001,1.2187283084634588e-09,-1.0142227755310134,-1.0306309004951768,-1.0263669951303667,-1.0102540017294674,0.03281680923895647,-0.026366995130366666,0.14222775531013476,True
7.0,6.0,1.0,0.9,0.23088044326989934,0.7000000000000001,1.2187283084634588e-09,-1.0142275012264788,-1.0306504094570763,-1.0264120984142044,-1.0102755657471432,0.03284751212510173,-0.026412098414204443,0.14227501226478867,True
6.0,8.0,1.0,0.9,0.23106336001019467,0.7000000000000001,1.2187283084634588e-09,-1.0142388254109105,-1.0306820402524983,-1.02647900826329,-1.0103286017521498,0.032891877974662975,-0.02647900826328997,0.14238825410910594,True
9.0,4.0,1.0,0.9,0.23124818567168381,0.7000000000000001,1.2187283084634588e-09,-1.0142487892252552,-1.0306591603576158,-1.0263145826419335,-1.010190917296787,0.03282080106886087,-0.026314582641933537,0.14248789225255298,True
6.0,7.0,1.0,0.9,0.2314348709247084,0.7000000000000001,1.2187283084634588e-09,-1.0142617047453826,-1.0307302293569929,-1.0264845897515942,-1.0102596443801086,0.032936991800909254,-0.02648458975159418,0.14261704745382686,True
7.0,5.0,1.0,0.9,0.231677354163476,0.7000000000000001,1.2187283084634588e-09,-1.0142762280407984,-1.0307382919360224,-1.0263868343912812,-1.0101562017733576,0.032914981361879425,-0.0263868343912812,0.14276228040798533,True
8.0,4.0,1.0,0.9,0.23208234977508901,0.7000000000000001,1.2187283084634588e-09,-1.0142994378421408,-1.0307487301015623,-1.026304533366834,-1.0100972917277704,0.03289224832018545,-0.026304533366833915,0.14299437842140938,True
6.0,6.0,1.0,0.9,0.23208294101228552,0.7000000000000001,1.2187283084634588e-09,-1.0143015372422304,-1.0308081863623533,-1.0264701965779763,-1.0101412553055027,0.033002192982621636,-0.026470196577976335,0.1430153724223049,True
6.0,5.0,1.0,0.9,0.2333050889014592,0.7000000000000001,1.2187283084634588e-09,-1.0143761157061257,-1.030935345494373,-1.0264006045932503,-1.009945347164241,0.03308973363969403,-0.026400604593250332,0.14376115706125847,True
7.0,4.0,1.0,0.9,0.23345395311159056,0.7000000000000001,1.2187283084634588e-09,-1.0143826272047314,-1.0308929760316894,-1.0262764437641716,-1.0099350437116654,0.03300408360954066,-0.026276443764171598,0.1438262720473149,True
6.0,4.0,1.0,0.9,0.23582684505385076,0.7000000000000001,1.2187283084634588e-09,-1.0145263108917308,-1.0311348429718754,-1.0262002922088507,-1.0096397043157026,0.03318385054007922,-0.026200292208850673,0.14526310891730954,True
12.0,8.0,2.0,0.9,0.38979319387494027,0.7000000000000001,1.2187283084634588e-09,-1.0233903777069604,-1.0294311802314724,-1.021936849083581,-1.0079625489145247,0.029786822281835157,-0.021936849083580956,0.23390377706960508,True
12.0,7.0,2.0,0.9,0.3898166494891531,0.7000000000000001,1.2187283084634588e-09,-1.0233917849275758,-1.0294329987737112,-1.0219376957060293,-1.0079616302742767,0.02978863483470673,-0.021937695706029325,0.23391784927575876,True
11.0,8.0,2.0,0.9,0.3898178726655779,0.7000000000000001,1.2187283084634588e-09,-1.023391858649899,-1.0294331393467178,-1.021938206127712,-1.0079625297119885,0.029788812068375137,-0.021938206127712023,0.2339185864989901,True
11.0,7.0,2.0,0.9,0.3898540931199698,0.7000000000000001,1.2187283084634588e-09,-1.0233940316302947,-1.029435938295294,-1.0219394162635387,-1.007960905465519,0.029791594191228343,-0.02193941626353868,0.23394031630294854,True
10.0,8.0,2.0,0.9,0.3898637708068573,0.7000000000000001,1.2187283084634588e-09,-1.0233946129322602,-1.0294367807459066,-1.021940687246019,-1.0079623398776578,0.029792508162538978,-0.021940687246019053,0.23394612932260306,True
12.0,6.0,2.0,0.9,0.3898736186970856,0.7000000000000001,1.2187283084634588e-09,-1.0233951991462598,-1.029437205646251,-1.021938612985496,-1.0079582043005912,0.029792701633236218,-0.02193861298549593,0.2339519914625987,True
10.0,7.0,2.0,0.9,0.3899210793194459,0.7000000000000001,1.2187283084634588e-09,-1.0233980509072058,-1.029441189527721,-1.0219423975861537,-1.0079593485505889,0.02979687424176336,-0.021942397586153684,0.23398050907205925,True
11.0,6.0,2.0,0.9,0.38993809911036786,0.7000000000000001,1.2187283084634588e-09,-1.0233990656009955,-1.0294421023406015,-1.0219405060423294,-1.0079554699675728,0.029797526012496744,-0.021940506042329444,0.23399065600995583,True
9.0,8.0,2.0,0.9,0.38995267825050345,0.7000000000000001,1.2187283084634588e-09,-1.0233999481230187,-1.0294438283577434,-1.021945376469548,-1.0079615513275844,0.029799655304837414,-0.021945376469548084,0.2339994812301882,True
