case,label,N,a,z,H,Omega_m,mu_eff,D_raw,D_norm,f,gamma,sigma8_z,fsigma8
C,C: Full Flux ledger,-0.7922715893256904,0.45281501635010246,1.2084073272579618,1.9738845106519638,0.8293084711515887,1.0121910940704,0.4333103060869149,0.5572982871137997,0.9065617277492322,0.5241212627318542,0.45641394968944404,0.4137674187993135
C,C: Full Flux ledger,-0.7904248024041851,0.45365204186614894,1.2043326331925832,1.969383229212208,0.8285008532175563,1.0121996269902376,0.43403618453097337,0.5582318693707734,0.9060905234115446,0.5241703990129695,0.45717853119833773,0.414245134626023
C,C: Full Flux ledger,-0.7885780154826803,0.4544906146182391,1.2002654572745697,1.9648965726280538,0.8276901686235046,1.0122079141893223,0.4347628997908895,0.5591665278911953,0.9056172282586011,0.5242197627241482,0.45794399414121867,0.4147219706718435
C,C: Full Flux ledger,-0.786731228561175,0.45533073746642877,1.196205785632316,1.9604251863023598,0.8268765347852935,1.0122159558132904,0.43549045030540773,0.5601022606670698,0.9051418390934819,0.5242697422808174,0.45871033687358664,0.41519791792894883
C,C: Full Flux ledger,-0.7848844416396701,0.4561724132760598,1.1921536044198153,1.9559676592350417,0.8260597046252982,1.012223753422302,0.4362188345119828,0.5610390656887432,0.9046643322490625,0.5243196273276076,0.4594775577495832,0.41567295796495674
C,C: Full Flux ledger,-0.7830376547181648,0.45701564491777136,1.1881088998166032,1.9515260118194344,0.8252400426373356,1.0122313062190336,0.43694805081942867,0.5619769409097252,0.9041847479023263,0.5243703742298617,0.460245655093182,0.41614710162356977
C,C: Full Flux ledger,-0.7811908677966599,0.45786043526750825,1.1840716580277193,1.9470974677713078,0.824417053128144,1.0122386167756678,0.4376780976391408,0.5629158842868458,0.9037030464821829,0.5244205473157008,0.46101462723107567,0.416620323101571
C,C: Full Flux ledger,-0.7793440808751546,0.45870678720653213,1.1800418652836528,1.9426854038360688,0.8235913513371965,1.0122456833198472,0.43840897333704776,0.5638558937184585,0.9032192087404324,0.5244722628880855,0.46178447244206594,0.4170926058077408
C,C: Full Flux ledger,-0.7774972939536493,0.45955470362143014,1.1760195078403015,1.938285697005772,0.822762189288317,1.012252509464984,0.43914067626780817,0.5647969670884214,0.9027332541825493,0.5245229277737599,0.46255518899308357,0.41756395099875043
C,C: Full Flux ledger,-0.7756505070321444,0.4604041874041252,1.1720045719789214,1.9339030618897788,0.821930436643883,1.0122590924315782,0.43987320477967184,0.5657391022723507,0.9022451849186736,0.5245753540224314,0.46332677514430876,0.41803435191784954
C,C: Full Flux ledger,-0.7738037201106391,0.4612552414518866,1.167997044006078,1.9295320471670676,0.8210950894683747,1.0122654369035315,0.4406065572041965,0.5666822971243938,0.9017549590227947,0.5246264828225385,0.46409922913833984,0.4185037813541542
C,C: Full Flux ledger,-0.7719569331891343,0.46210786866733833,1.1639969102536076,1.9251786869721397,0.8202572755330807,1.0122715390620727,0.44134073182221556,0.5676265494334592,0.9012625849971814,0.524679903535986,0.4648725491643459,0.4189722353540877
C,C: Full Flux ledger,-0.770110146267629,0.46296207195847067,1.1600041570785598,1.9208363836277536,0.819415762263689,1.0122774045655853,0.44207572692898534,0.568571857007006,0.9007680729444156,0.5247315495966213,0.4656467334266881,0.41943971074161984
C,C: Full Flux ledger,-0.7682633593461241,0.4638178542386486,1.1560187708631613,1.9165119815179885,0.818571846218345,1.0122830288998288,0.4428115407728692,0.5695182175921818,0.9002713535429818,0.5247859597561976,0.4664217800803347,0.4199061672748499
C,C: Full Flux ledger,-0.7664165724246188,0.46467521842662307,1.1520407380147608,1.9121987472258475,0.8177242527045044,1.0122884179533282,0.44354817157471227,0.5704656289007419,0.8997724820155819,0.5248387100899222,0.46719768725126787,0.4203716226500129
C,C: Full Flux ledger,-0.7645697855031139,0.4655341674465397,1.14807004496579,1.9079026493946363,0.8168741281722883,1.0122935678027973,0.44428561756983254,0.571414088663056,0.8992714375760567,0.5248935573163037,0.4679744530807147,0.4208360591707632
C,C: Full Flux ledger,-0.7627229985816086,0.4663947042279501,1.14410667817371,1.903618332012419,0.8160204455510967,1.0122984833876687,0.4450238769724316,0.572363594582335,0.898768250789642,0.5249470396795249,0.46875207568766014,0.42129948311981213
C,C: Full Flux ledger,-0.7608762116601038,0.4672568317058202,1.1401506241209738,1.899350395891108,0.8151641021477553,1.012303161787327,0.44576294799998845,0.5733141443660049,0.8982629018480414,0.525002089848075,0.46953055319454085,0.4217618772188444
