case,model,k,Gamma0,A_mu,G_void_k,G_collapse_k,D_today,sigma8_today,S8,f_sigma8_z0p5,f_sigma8_z1p0,gamma_z0,gamma_z0p5,Gamma_topo_z0,Gamma_topo_z1,mu_eff_z0,mu_eff_z1,delta_S8_vs_LCDM_percent
B_flux_topology_linear,flux,0.1,0.12,0.0,0.8797113999598205,0.0066928509242848554,0.7577523437334501,0.7888982357436577,0.7888982357436577,0.4473386590792597,0.4126905855004036,0.5752593437300233,0.6115034747537937,0.01846134052165776,0.08442238716376618,1.0,1.0,-2.725248366996592
C_flux_topology_halo,flux,10.0,0.12,0.25,0.00033191490682538127,0.9933071490757153,0.8532682117867909,0.8883400921971043,0.8883400921971043,0.551261818143326,0.48528635099677225,0.4613533887583642,0.3691163274445608,6.965459489779874e-06,3.185254706340913e-05,1.2394579734378957,1.1915663549218725,9.536386214192877
B_flux_topology_linear,flux,0.1,0.13,0.0,0.8797113999598205,0.0066928509242848554,0.7557991031850949,0.786864711155679,0.786864711155679,0.4452559462979608,0.410982883257053,0.5770030407254094,0.6167001074164625,0.019999785565129238,0.09145758609408003,1.0,1.0,-2.975991226180152
C_flux_topology_halo,flux,10.0,0.13,0.25,0.00033191490682538127,0.9933071490757153,0.853267344783221,0.8883391895570896,0.8883391895570896,0.5512608683090496,0.4852855987388155,0.46135396449452226,0.3691181468809775,7.545914447261532e-06,3.4506925985359894e-05,1.2394579734378957,1.1915663549218725,9.536274914560975
B_flux_topology_linear,flux,0.1,0.14,0.0,0.8797113999598205,0.0066928509242848554,0.7538558757410412,0.7848416112405939,0.7848416112405939,0.4431856679098328,0.4092837714344801,0.5787454664654511,0.6218940176732553,0.02153823060860072,0.09849278502439389,1.0,1.0,-3.2254486756357736
C_flux_topology_halo,flux,10.0,0.14,0.25,0.00033191490682538127,0.9933071490757153,0.8532664629336184,0.8883382714608258,0.8883382714608258,0.5512598978677994,0.48528486010425087,0.46135454142981747,0.3691200342503453,8.126369404743189e-06,3.7161304907310655e-05,1.2394579734378957,1.1915663549218725,9.536161709103048
B_flux_topology_linear,flux,0.1,0.15,0.0,0.8797113999598205,0.0066928509242848554,0.7519226014329495,0.7828288735651847,0.7828288735651847,0.44112775835806567,0.40759316888871405,0.5804867102763936,0.6270850750564304,0.0230766756520722,0.10552798395470774,1.0,1.0,-3.473628413664037
C_flux_topology_halo,flux,10.0,0.15,0.25,0.00033191490682538127,0.9933071490757153,0.8532655769456438,0.8883373490560904,0.8883373490560904,0.5512589335731427,0.4852840844311271,0.4613556219993684,0.3691218844269617,8.706824362224843e-06,3.9815683829261416e-05,1.2394579734378957,1.1915663549218725,9.536047972390918
B_flux_topology_linear,flux,0.1,0.16,0.0,0.8797113999598205,0.0066928509242848554,0.7499991745846643,0.7808263881096886,0.7808263881096886,0.4390820620163285,0.40591102945564383,0.5822266847369513,0.6322735237487855,0.02461512069554368,0.11256318288502157,1.0,1.0,-3.720544006203628
C_flux_topology_halo,flux,10.0,0.16,0.25,0.00033191490682538127,0.9933071490757153,0.8532647187456003,0.8883364555814536,0.8883364555814536,0.5512580012037205,0.4852833532358896,0.46135578649917147,0.36912365443832473,9.2872793197065e-06,4.247006275121218e-05,1.2394579734378957,1.1915663549218725,9.535937802891926
