w0_offset,hump_amp,w0,w_z2,H0_eff_z0p1,H0_eff_z0p3,H0_eff_z0p5,H0_eff_z1p0,H0_eff_z1p5,H0_mean_lowz,H0_mean_z0p1_to_1p5,delta_H0_lowz,omega_de_1090,target_distance,cmb_safe,w_reasonable,not_too_extreme_z2,score
-0.005,-0.11,-1.0143123787484782,-1.1100096360095222,67.3518273826036,67.27045347117574,67.20761773918719,67.11014441535987,67.0637902320056,67.27663286432217,67.20076664806639,-0.12336713567783875,1.3656696741765183e-09,5.723367135677833,True,True,True,5.723367135677833
-0.015,-0.025,-1.0171164497155631,-1.0250289532318275,67.34488648180246,67.26476218394703,67.21671356753812,67.1741900417939,67.17262881512441,67.27545407776255,67.23463621804119,-0.1245459222374592,1.6525486899414774e-09,5.7245459222374535,True,True,True,5.7245459222374535
-0.01,-0.07,-1.015926059203577,-1.0700192942501563,67.34762460700166,67.26553648666086,67.20895028164796,67.13684445278857,67.11150342317995,67.2740371251035,67.21409185025581,-0.12596287489650138,1.4931994272082225e-09,5.725962874896496,True,True,True,5.725962874896496
-0.005,-0.115,-1.014735668691591,-1.115009635268485,67.35036296153086,67.2663109019372,67.20119390769585,67.09972245602341,67.05125816833161,67.27262259038797,67.1937696791038,-0.1273774096120377,1.3492156345842161e-09,5.727377409612032,True,True,True,5.727377409612032
-0.015,-0.03,-1.0175397396586758,-1.0300289524907904,67.34342237432973,67.26062034859861,67.21028478822505,67.16368502917642,67.15983935266682,67.27144250371781,67.22757037859932,-0.12855749628219826,1.6326382371585284e-09,5.728557496282193,True,True,True,5.728557496282193
-0.01,-0.075,-1.0163493491466897,-1.0750192935091194,67.34616037602393,67.26139463895582,67.20252509107532,67.12638624202337,67.09885517345377,67.27002670201836,67.20706430430644,-0.1299732979816497,1.475208867004706e-09,5.729973297981644,True,True,True,5.729973297981644
-0.005,-0.12,-1.0151589586347034,-1.1200096345274482,67.34889860704523,67.26216904193251,67.19477230614744,67.08931084257765,67.0387490428067,67.26861331837506,67.1867799681019,-0.13138668162494582,1.3329598386987668e-09,5.73138668162494,True,True,True,5.73138668162494
-0.015,-0.035,-1.0179630296017885,-1.0350289517497533,67.34195833344242,67.25647922234833,67.20385823912746,67.15319043913833,67.14707341986893,67.26743193163941,67.2205119307851,-0.1325680683605981,1.612967672090716e-09,5.732568068360592,True,True,True,5.732568068360592
-0.01,-0.08,-1.0167726390898024,-1.080019292768082,67.34469621163235,67.25725350040248,67.19610213040649,67.11593841101238,67.0862301318493,67.26601728081378,67.2000440770606,-0.1339827191862213,1.4574350630161094e-09,5.733982719186216,True,True,True,5.733982719186216
-0.005,-0.125,-1.015582248577816,-1.125009633786411,67.34743431914674,67.25802789113324,67.18835293418805,67.0789095658486,67.02626280597609,67.26460504815601,67.17979750325856,-0.13539495184399186,1.316899898014478e-09,5.735394951843986,True,True,True,5.735394951843986
-0.015,-0.04,-1.018386319544901,-1.0400289510087162,67.34049435914032,67.25233880516757,67.19743391989347,67.14270626256355,67.13433096664185,67.26342236140044,67.21346086268134,-0.13657763859956162,1.5935341044915794e-09,5.736577638599556,True,True,True,5.736577638599556
-0.01,-0.085,-1.0171959290329151,-1.085019292027045,67.343232113827,67.25311307097228,67.18968139928889,67.10550095060813,67.07362824861261,67.26200886136273,67.19303115666177,-0.1379911386372754,1.4398754036919298e-09,5.73799113863727,True,True,True,5.73799113863727
-0.02,0.0,-1.02,-1.0000386092493503,67.33629304955153,67.24742495617365,67.19876767336484,67.16961489088325,67.18305993967944,67.26082855969668,67.22703210193053,-0.13917144030332906,1.7423424251166378e-09,5.739171440303323,True,True,True,5.739171440303323
-0.005,-0.13,-1.0160055385209288,-1.130009633045374,67.34597009783535,67.25388744951042,67.1819357914632,67.0685186166587,67.01379940844456,67.260597779603,67.17282227278244,-0.13940222039700245,1.3010334528031665e-09,5.739402220396997,True,True,True,5.739402220396997
-0.015,-0.045,-1.0188096094880137,-1.045028950267679,67.33903045142354,67.24819909702758,67.19101183017074,67.1322324903317,67.12161194294941,67.25941379287396,67.20641716238059,-0.14058620712604863,1.574334678937302e-09,5.740586207126043,True,True,True,5.740586207126043
-0.01,-0.09,-1.0176192189760278,-1.090019291286008,67.34176808260776,67.24897335063636,67.18326289736842,67.09507385165836,67.06104947404626,67.25800144353751,67.18602553126343,-0.1419985564624966,1.4225273089464875e-09,5.741998556462491,True,True,True,5.741998556462491
-0.02,-0.005,-1.0204232899431127,-1.0050386085083132,67.33482933191867,67.24328596924525,67.19234422559295,67.1591046795142,67.17022227418829,67.25681984225228,67.21995729609186,-0.14318015774772164,1.721350107737375e-09,5.743180157747716,True,True,True,5.743180157747716
-0.005,-0.135,-1.0164288284640415,-1.135009632304337,67.34450594311093,67.24974771703548,67.1755208776181,67.05813798582577,67.00135880087593,67.25659151258817,67.16585426489324,-0.14340848741183265,1.28535817176743e-09,5.743408487411827,True,True,True,5.743408487411827
-0.015,-0.05,-1.0192328994311264,-1.050028949526642,67.33756661029186,67.24406009789979,67.18459196960654,67.12176911331784,67.10891629880977,67.25540622593273,67.19938081798517,-0.1445937740672747,1.5553665744071594e-09,5.744593774067269,True,True,True,5.744593774067269
-0.01,-0.095,-1.0180425089191403,-1.095019290544971,67.34030411797461,67.24483433936608,67.17684662429129,67.08465710500703,67.04849375851008,67.25399502721065,67.17902718902981,-0.1460049727893562,1.405388229779824e-09,5.7460049727893505,True,True,True,5.7460049727893505
-0.02,-0.01,-1.0208465798862254,-1.0100386077672763,67.33336568087005,67.23914769124684,67.18592300693939,67.14860489696913,67.15740826053255,67.25281212635208,67.21288990731159,-0.14718787364792263,1.700610712735395e-09,5.747187873647917,True,True,True,5.747187873647917
-0.005,-0.14,-1.0168521184071542,-1.1400096315632997,67.34304185497352,67.2456086936796,67.1691081922973,67.04776766416403,66.98894093399458,67.25258624698347,67.1588934678218,-0.14741375301653648,1.2698717516981086e-09,5.747413753016531,True,True,True,5.747413753016531
-0.015,-0.055,-1.019656189374239,-1.055028948785605,67.33610283574538,67.23992180775545,67.17817433784766,67.11131612239272,67.0962439842952,67.25139966044951,67.19235181760729,-0.148600339550498,1.5366270038690103e-09,5.748600339550492,True,True,True,5.748600339550492
-0.01,-0.1,-1.018465798862253,-1.1000192898039338,67.33884021992743,67.24069603713271,67.17043257970296,67.07425070149343,67.03596105242083,67.24998961225437,67.17203611813548,-0.15001038774563824,1.3884556479031793e-09,5.750010387745633,True,True,True,5.750010387745633
