A,p0,p_high,zt,w,theta_star,theta_err_ppm,theta_abs_err_ppm,r_s_Mpc,D_M_Mpc,cmb_soft_pass,cmb_strict_pass,sn_shape_max,sn_shape_end,sn_shape_rms,sn_offset,sn_good_pass,sn_excellent_pass,score
1.2,0.2,0.22,1.3,0.6,0.010430582843164933,1669.30848969899,1669.30848969899,143.74939745387985,13781.530679091202,True,False,0.13866817892458508,0.13866817892458508,0.10544026045157645,-0.16846290032148184,False,False,11.533993972047588
1.2,0.195,0.24,1.5,0.25,0.010430607811606214,1671.7062580393213,1671.7062580393213,143.74939745460756,13781.497689392227,True,False,0.1380893304457492,0.1380893304457492,0.1042084889192158,-0.1685574001972133,False,False,11.427195316500795
1.2,0.2,0.23,1.9,0.6,0.010430778649042533,1688.1121117940684,1688.1121117940684,143.7493974542541,13781.271973156981,True,False,0.1383514437269279,0.1383514437269279,0.10511339454133994,-0.16847464317852948,False,False,11.596333892286745
1.2,0.2,0.22,1.3,0.45,0.010430804939408522,1690.6368271542258,1690.6368271542258,143.74939745387985,13781.237238056448,True,False,0.13854986323786989,0.13854986323786989,0.10525858610248466,-0.1684766857626414,False,False,11.62737456671921
1.2,0.195,0.23,1.5,0.6,0.010430812171253119,1691.331315361225,1691.331315361225,143.7493974542541,13781.22768334583,True,False,0.13833872922084348,0.13833872922084348,0.10491434416106868,-0.16852186598390753,False,False,11.596258273170044
1.2,0.2,0.23,2.1,0.8,0.01043081278807477,1691.3905499529976,1691.3905499529976,143.7493974542541,13781.226868398828,True,False,0.1384007079424142,0.1384007079424142,0.10523904783187076,-0.1684635424940145,False,False,11.625581584554503
1.2,0.19,0.23,1.3,0.8,0.010430842162759909,1694.2114585247305,1694.2114585247305,143.7493974542541,13781.188058569882,True,False,0.13837639614323174,0.13837639614323174,0.10496319404915311,-0.16853541243475215,False,False,11.616637271390951
1.2,0.195,0.24,1.7,0.45,0.01043084676851635,1694.6537583404609,1694.6537583404609,143.74939745460756,13781.181973498975,True,False,0.13803680063400728,0.13803680063400728,0.10446277855297033,-0.16854473512169457,False,False,11.5676724251573
1.2,0.195,0.23,1.3,0.25,0.010430890331168455,1698.8371651803736,1698.8371651803736,143.7493974542541,13781.12441894991,True,False,0.13824917326082678,0.13824917326082678,0.10444582992713135,-0.16855619721391926,False,False,11.594305499206621
1.2,0.2,0.22,1.5,0.8,0.01043091524045964,1701.2292532210586,1701.2292532210586,143.74939745387985,13781.091509238024,True,False,0.13853320127538873,0.13853320127538873,0.10540111043190381,-0.16845483658965557,False,False,11.695060186445653
1.2,0.2,0.23,1.7,0.35,0.010430915412834063,1701.2458066745626,1701.2458066745626,143.7493974542541,13781.091281536683,True,False,0.1382022904725583,0.1382022904725583,0.10483259854326586,-0.1684883145113313,False,False,11.63818256913172
1.2,0.2,0.24,2.1,0.45,0.010430921078422788,1701.7898842612408,1701.7898842612408,143.74939745460756,13781.083796325995,True,False,0.13801807009147637,0.13801807009147637,0.10476646504956397,-0.1684863556398568,False,False,11.630442412666868
1.2,0.19,0.24,1.7,0.8,0.010430963171810699,1705.8321947816091,1705.8321947816091,143.74939745460756,13781.028183771668,True,False,0.13812797924692907,0.13812797924692907,0.1046682337217305,-0.168552516269853,False,False,11.646771207681978
1.2,0.2,0.24,1.9,0.25,0.010430994969402288,1708.8857798072775,1708.8857798072775,143.74939745460756,13780.986174020236,True,False,0.13785824382793996,0.13785824382793996,0.10451839370900971,-0.16849136558265818,False,False,11.64308146420501
1.2,0.2,0.22,1.3,0.35,0.010431003000875762,1709.657057942157,1709.657057942157,143.74939745387985,13780.975563118043,True,False,0.1384469528823805,0.1384469528823805,0.1051044743155674,-0.16848478390703056,False,False,11.712609921845177
1.2,0.185,0.24,1.3,0.45,0.010431025813518312,1711.847800706082,1711.847800706082,143.74939745460756,13780.945424208658,True,False,0.13801166980041066,0.13801166980041066,0.10402476563267248,-0.16865265982715746,False,False,11.621968616054996
1.2,0.195,0.23,1.7,0.8,0.010431180371919691,1726.6903468378596,1726.6903468378596,143.7493974542541,13780.741232432485,True,False,0.13821704620672173,0.13821704620672173,0.10494010586859287,-0.16850730249390958,False,False,11.78389606700671
