z,elapsed_years_since_zmax,sfrd_msun_yr_mpc3,rho_star_msun_mpc3,lum_density_lsun_mpc3,lum_density_w_mpc3,fusion_chain_rate_mpc3_s,proton_processing_rate_mpc3_s,T_sink_K,entropy_rate_J_K_mpc3_s,entropy_rate_kB_mpc3_s
16.44274045674279,57472991.205545805,0.0014615664423805004,48010.152633351274,16003.38421111709,6.126095476015622e+30,1.4320629402458626e+42,5.72825176098345e+42,47.540189114852474,1.2780005606130304e+29,9.256520380002667e+51
16.439406567761296,57540811.635306,0.001462376803374162,48082.533265088576,16027.511088362859,6.135331244625303e+30,1.4342219340131637e+42,5.736887736052655e+42,47.53110260043341,1.2801740038104043e+29,9.272262564999535e+51
16.436072678779798,57608664.47789579,0.001463187768657586,48154.98864331052,16051.662881103506,6.144576550886423e+30,1.436383157343686e+42,5.745532629374744e+42,47.52201608601434,1.2823502747517175e+29,9.28802523126238e+51
16.4327387897983,57676549.755003296,0.0014639993387969479,48227.518859512355,16075.839619837452,6.153831406473777e+30,1.4385466129665812e+42,5.754186451866325e+42,47.512929571595265,1.2845293775057653e+29,9.30380840826137e+51
16.429404900816802,57744467.48833537,0.001464811514359063,48300.12400531892,16100.041335106305,6.163095823078694e+30,1.4407123036148647e+42,5.762849214459459e+42,47.50384305717619,1.2867113161479232e+29,9.319612125514327e+51
16.426071011835305,57812417.69961754,0.0014656242959113861,48372.80417248477,16124.268057494925,6.172369812409057e+30,1.4428802320254235e+42,5.771520928101694e+42,47.494756542757116,1.2888960947601575e+29,9.335436412586815e+51
16.42273712285381,57880400.410593964,0.0014664376840220115,48445.55945289432,16148.519817631439,6.181653386189315e+30,1.4450504009390155e+42,5.780201603756062e+42,47.485670028338056,1.291083717431034e+29,9.351281299092195e+51
16.419403233872313,57948415.64302772,0.0014672516792596773,48518.38993856233,16172.796646187444,6.190946556160553e+30,1.4472228131002884e+42,5.788891252401154e+42,47.47658351391898,1.2932741882557406e+29,9.36714681469179e+51
16.416069344890815,58016463.41870043,0.0014680662821937606,48591.295721633694,16197.098573877898,6.200249334080459e+30,1.449397471257771e+42,5.797589885031084e+42,47.467496999499915,1.2954675113360844e+29,9.383032989094869e+51
16.412735455909317,58084543.75941252,0.0014688814933942823,48664.276894383926,16221.425631461309,6.209561731723389e+30,1.4515743781638885e+42,5.806297512655554e+42,47.45841048508084,1.2976636907805133e+29,9.398939852058801e+51
16.409401566927823,58152656.68698314,0.0014696973134319087,48737.333549219235,16245.777849739745,6.218883760880374e+30,1.4537535365749637e+42,5.815014146299855e+42,47.44932397066178,1.2998627307041222e+29,9.414867433389095e+51
16.406067677946325,58220802.22325044,0.0014705137428779502,48810.465778677026,16270.15525955901,6.228215433359189e+30,1.455934949251234e+42,5.823739797004936e+42,47.440237456242706,1.3020646352286767e+29,9.430815762939579e+51
16.402733788964827,58288980.39007119,0.001471330782304361,48883.67367542567,16294.557891808558,6.237556760984317e+30,1.4581186189568424e+42,5.83247447582737e+42,47.43115094182363,1.3042694084826088e+29,9.446784870612362e+51
16.39939989998333,58357191.209321044,0.0014721484322837417,48956.957332265,16318.985777421667,6.246907755597014e+30,1.460304548459853e+42,5.841218193839412e+42,47.422064427404564,1.3064770546010384e+29,9.462774786357998e+51
