H0,omega_m,Omega_m,p0,p_high,theta_err_ppm,chi2_bao,sn_shape_max,best_Om_ref,score
73.0,0.14,0.26271345468192914,0.21000000000000002,0.23,954.023165709357,38.351847000515114,0.013764411187672465,0.24,61.579499556626004
73.0,0.14,0.26271345468192914,0.16,0.21000000000000002,870.9958684755206,42.3373102702408,0.013294312591618507,0.24,61.745002210985625
69.0,0.15,0.31505986137366104,0.17,0.2,1308.3199570922343,18.774216852989866,0.011962257000554644,0.30000000000000004,61.92448358750381
71.0,0.145,0.2876413410037691,0.16,0.21000000000000002,1327.6149793146815,18.16737044166266,0.009215392770315134,0.27,62.443717433958646
73.0,0.14,0.26271345468192914,0.2,0.26,986.7551540433267,38.92835738834486,0.012209437285370939,0.24,63.6431766361851
73.0,0.14,0.26271345468192914,0.22,0.21000000000000002,1026.5663795529758,37.759566152913315,0.015375941317287811,0.24,64.69657837210762
70.0,0.145,0.29591836734693877,0.17,0.2,1410.2398204388808,15.401308208699824,0.012145145717930461,0.28,65.48947839876139
69.0,0.15,0.31505986137366104,0.16,0.22,1386.6812854755394,18.208562994075706,0.010514777391215091,0.30000000000000004,66.55708904024509
70.0,0.145,0.29591836734693877,0.16,0.23,1437.8066199439888,15.157761694765863,0.01067197285411936,0.28,67.12468611513246
73.0,0.14,0.26271345468192914,0.21000000000000002,0.24000000000000002,1070.6153095666202,38.306321149725775,0.013817076633202419,0.24,67.439028693406
73.0,0.14,0.26271345468192914,0.16,0.2,997.27353673888,42.39623674068675,0.013678839166978207,0.24,67.72787602006876
71.0,0.145,0.2876413410037691,0.16,0.2,1439.9216356551624,18.20741740085117,0.00916699647225272,0.27,70.25185988235287
73.0,0.14,0.26271345468192914,0.22,0.22,1146.9060477958035,37.712841708560475,0.015428458181467875,0.24,71.19277207496847
70.0,0.145,0.29591836734693877,0.17,0.21000000000000002,1517.555759584247,15.375889362412595,0.012202514678392617,0.28,73.32252985978658
69.0,0.15,0.31505986137366104,0.16,0.21000000000000002,1484.1683899173624,18.229112813389367,0.010460728456187951,0.30000000000000004,73.57157515372201
73.0,0.14,0.26271345468192914,0.21000000000000002,0.25,1185.1305219415501,38.26217555182336,0.013869735518355242,0.24,73.85645831113244
70.0,0.145,0.29591836734693877,0.16,0.24000000000000002,1539.9904498445903,15.134890403746828,0.010729529182903264,0.28,74.71196203527734
73.0,0.14,0.26271345468192914,0.22,0.23,1265.0473318439485,37.6675842651469,0.015480968487032953,0.24,78.27535402352551
73.0,0.14,0.26271345468192914,0.21000000000000002,0.26,1297.6253243426916,38.21936251115996,0.013922387843123829,0.24,80.79973177868276
69.0,0.15,0.31505986137366104,0.16,0.2,1583.4402240795312,18.251015608763254,0.010406669057751117,0.30000000000000004,81.20383609178303
72.0,0.145,0.2797067901234568,0.22,0.26,1520.8195485136835,22.957545138390703,0.017697191726227857,0.26,81.56282410441197
70.0,0.145,0.29591836734693877,0.17,0.22,1622.9301608488108,15.351829628777825,0.01225987283635277,0.28,81.57514850850535
70.0,0.145,0.29591836734693877,0.16,0.25,1640.388383265882,15.113261696359396,0.010787074694661669,0.28,82.67601534637129
73.0,0.14,0.26271345468192914,0.22,0.24000000000000002,1381.054747975924,37.62374284577477,0.015533472234004364,0.24,85.90977016755731
70.0,0.145,0.29591836734693877,0.18,0.2,1698.9437274761615,15.593545905818491,0.013786029572393943,0.28,88.22892716251062
72.0,0.14,0.27006172839506176,0.16,0.2,1531.7937715084126,29.632727455589855,0.007692172396154717,0.25,88.44045520681944
72.0,0.145,0.2797067901234568,0.22,0.25,1624.3515008355105,22.994427274043467,0.017637806661703337,0.26,89.7351027902969
70.0,0.145,0.29591836734693877,0.17,0.23,1726.4183557098513,15.32908492656589,0.012317220192670675,0.28,90.22137818305039
70.0,0.145,0.29591836734693877,0.16,0.26,1739.0503890275381,15.092835650034925,0.010844609390233018,0.28,90.99425592152255
73.0,0.14,0.26271345468192914,0.22,0.25,1494.9866877668985,37.5812683150756,0.015585969422417634,0.24,94.06320433717299
70.0,0.145,0.29591836734693877,0.18,0.21000000000000002,1805.718546576618,15.569542832722426,0.013843179047590581,0.28,97.5641135843509
72.0,0.14,0.27006172839506176,0.16,0.21000000000000002,1653.3876614332842,29.587947573114228,0.007715694561035491,0.25,98.07904640400781
72.0,0.145,0.2797067901234568,0.22,0.24000000000000002,1729.7419346935756,23.032637180109248,0.01757841058549303,0.26,98.60531749282652
70.0,0.145,0.29591836734693877,0.17,0.24000000000000002,1828.0737928359713,15.30761270391088,0.012374556748227405,0.28,99.23678164204097
73.0,0.14,0.26271345468192914,0.22,0.26,1606.9055647887014,37.54011331539407,0.015638460052286973,0.24,102.70515425113392
72.0,0.145,0.2797067901234568,0.21000000000000002,0.26,1815.6435206872181,23.24389218990365,0.015997169731484462,0.26,106.29770064378538
