V_ref,n,Point_MAE,Galaxy_MAE
210.0,3.75,20.420075534371144,19.722293025544385
210.0,4.0,20.447280341218192,19.75430164850908
210.0,4.25,20.472582880736468,19.784124110410694
210.0,4.5,20.49595069274105,19.811765448385803
210.0,4.75,20.51783004171091,19.83764669343607
210.0,5.0,20.538229473736383,19.861865923989548
210.0,5.25,20.557040507062737,19.884357202341125
210.0,5.5,20.57438408479006,19.905212455290552
210.0,5.75,20.59047111150768,19.92472024897758
210.0,6.0,20.60542987657475,19.943085643290672
215.0,1.0,20.065028951596172,19.279679043518506
215.0,1.25,20.076400967747407,19.315950482723842
215.0,1.5,20.10609710548754,19.35932668680654
215.0,1.75,20.14447847601167,19.406768606214914
215.0,2.0,20.186732687034638,19.455611824909955
215.0,2.25,20.228818483264114,19.50340843820435
215.0,2.5,20.26899180910963,19.549065250347457
215.0,2.75,20.307305899594848,19.59286084027645
215.0,3.0,20.343208843928963,19.634190313659605
215.0,3.25,20.376588010958887,19.672939043553697
215.0,3.5,20.407633630022293,19.709194822098397
