p,H0,theta_star,theta_err,theta_abs_err,theta_err_ppm,r_s_Mpc,D_M_Mpc,Omega_m0,Omega_b0,Omega_r0,Omega_flux0,q0,z_acc,accepted_theta,H0_distance_to_73,score
0.24,73.0,0.010391318255480213,-2.1881744519785737e-05,2.1881744519785737e-05,-2101.346802115175,143.51333566951394,13810.888295508352,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6870253385283789,0.7721619762168704,True,0.0,0.9310770053453385
0.14250000000000002,73.0,0.010435482944522767,2.2282944522767495e-05,2.2282944522767495e-05,2139.8748245272823,143.5133356657606,13752.438332629914,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6504615015977535,0.7709443550288769,True,0.0,0.9566131924002772
0.2425,73.0,0.010390250776549712,-2.2949223450287326e-05,2.2949223450287326e-05,-2203.8588954679954,143.51333566958525,13812.307205663199,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6879627620769426,0.7721381013188355,True,0.0,1.0075913780643448
0.14,73.0,0.01043668499531299,2.348499531299071e-05,2.348499531299071e-05,2255.310117254131,143.5133356656341,13750.854388159121,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.649523856577904,0.7708518099484064,True,0.0,1.0444249250332762
0.245,73.0,0.010389186328182547,-2.4013671817452176e-05,2.4013671817452176e-05,-2306.0799578853935,143.5133356696556,13813.722377887256,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6889001800890462,0.7721117601768756,True,0.0,1.0875135793894202
0.1375,73.0,0.010437890779074165,2.4690779074165378e-05,2.4690779074165378e-05,2371.1038944959646,143.51333566550574,13749.265891268053,0.26834302871082755,0.041977857008819675,7.843873146931883e-05,0.7315785325577032,-0.6485862060209282,0.7707558634999242,True,0.0,1.1371476659779667
0.1875,72.95,0.010413160019650558,-3.998034944080464e-08,3.998034944080464e-08,-3.839391295740468,143.51333566776634,13781.919743569091,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6667502377136749,0.7710358502348272,True,0.04999999999999716,0.16300397423196347
0.1925,73.05,0.010413495440716923,2.954407169238754e-07,2.954407169238754e-07,28.371750943406006,143.51333566793264,13781.475824802625,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6698009026598886,0.7731380266405026,True,0.04999999999999716,0.16801767406621756
0.195,73.05,0.010412365841586637,-8.341584133621932e-07,8.341584133621932e-07,-80.10586691527996,143.51333566802649,13782.970926246087,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6707389026830981,0.7731638133809486,True,0.04999999999999716,0.16905159781597826
0.185,72.95,0.010414296496397435,1.0964963974360864e-06,1.0964963974360864e-06,105.2986975604124,143.51333566766877,13780.415769544647,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6658131646187773,0.7709990418205058,True,0.04999999999999716,0.16484035874955463
