Galaxy,MAE,Bias,D_spatial,f_gas,R_disk,Vflat,Q,T,L36
UGC08490,31.70357638611278,-31.70357638611278,0.7899848029027868,0.15847482871611557,0.67,576.54,3.8,9,1.017
UGC08550,19.24259341701871,-19.24259341701871,0.7651342639987914,0.20953589636988249,0.45,1284.78,1.9,7,0.289
UGC08699,38.10052111236864,-32.230370592524494,0.8348797546450627,0.019383617238106103,3.09,1370.35,6.9,2,50.302
UGC08837,7.081022846147909,-2.9740249959543554,0.6411575631379354,0.14522623353579472,1.72,77.42,0.0,10,0.501
UGC09037,18.265494856829648,-6.387162956706879,0.8157770607575817,0.06886733914925519,4.28,841.07,9.6,6,68.614
UGC09133,41.908928409720644,-39.90363210431822,0.8423684673004957,0.030470542021130934,6.97,864.63,4.2,2,282.926
UGC09992,3.819021600248773,-3.819021600248773,0.6766960068492851,0.20111843419213105,1.04,73.25,3.3,10,0.336
UGC10310,19.21542463819656,-19.21542463819656,0.7038199931778231,0.15449975135202337,1.8,158.79,3.9,9,1.741
UGC11455,32.876548124960145,-23.865229457438787,0.8824883038879031,0.009387139372149262,5.93,9568.2,7.4,6,374.322
UGC11557,13.509106630823164,12.940081628176634,0.7611626762621487,0.05416084033600309,2.75,337.93,0.0,8,12.101
UGC11820,17.626107813665957,-17.219049628350366,0.6703661107583825,0.3515531305276754,2.08,34.11,0.0,9,0.97
UGC11914,41.56296160771728,-40.80488563612184,0.9448795928193071,0.0015719511861400821,2.44,3168.33,10.5,2,150.028
UGC12506,84.75957109693267,-84.75957109693267,0.791011902905667,0.06346350441997503,7.38,5608.28,16.8,6,139.571
UGC12632,22.47482265225428,-22.47482265225428,0.6630367891510544,0.2628494241046539,2.42,66.81,2.8,9,1.301
UGC12732,29.124561282412277,-29.124561282412277,0.7070980679637159,0.3686945193443815,1.98,120.46,0.0,9,1.667
UGCA281,6.599049329733746,-6.40314353613735,0.5907241062497119,0.07834977101267508,1.72,12.05,0.0,11,0.194
UGCA442,20.149348314731995,-20.149348314731995,0.6273066202020813,0.333199973327999,1.18,116.1,2.1,9,0.14
UGCA444,11.599199045075775,-11.599199045075775,0.5677025491264346,0.5976125008383072,0.83,22.74,4.8,10,0.012
