H0,theta_star,r_s_Mpc,D_M_Mpc,model,flux_power
67.07207207207207,0.010337906435208166,143.51332656587167,13882.24274086128,lcdm,
67.11711711711712,0.010339249018421903,143.5133265658409,13880.440089037105,lcdm,
67.16216216216216,0.010340591232679672,143.5133265658101,13878.638400506612,lcdm,
67.2072072072072,0.010341933078251826,143.51332656577932,13876.837674339162,lcdm,
67.25225225225225,0.010343274555408387,143.51332656574846,13875.037909605415,lcdm,
67.29729729729729,0.010344615664419026,143.51332656571762,13873.239105377397,lcdm,
67.34234234234233,0.010345956405553082,143.51332656568675,13871.441260728443,lcdm,
67.38738738738739,0.010347296779079562,143.51332656565586,13869.644374733205,lcdm,
67.43243243243244,0.010348636785267144,143.51332656562496,13867.848446467653,lcdm,
67.47747747747748,0.010349976424384143,143.51332656559404,13866.053475009103,lcdm,
67.52252252252252,0.01035131569669857,143.5133265655631,13864.259459436154,lcdm,
67.56756756756756,0.010352654602478088,143.51332656553214,13862.466398828734,lcdm,
67.61261261261261,0.01035399314199003,143.51332656550113,13860.674292268073,lcdm,
67.65765765765765,0.010355331315501395,143.51332656547015,13858.88313883672,lcdm,
67.70270270270271,0.010356669123278844,143.51332656543914,13857.092937618527,lcdm,
67.74774774774775,0.010358006565588723,143.51332656540808,13855.303687698633,lcdm,
67.7927927927928,0.010359343642697022,143.51332656537699,13853.515388163505,lcdm,
67.83783783783784,0.01036068035486943,143.51332656534592,13851.728038100886,lcdm,
67.88288288288288,0.010362016702371288,143.51332656531474,13849.941636599808,lcdm,
67.92792792792793,0.010363352685467616,143.51332656528365,13848.156182750625,lcdm,
67.97297297297297,0.010364688304423096,143.5133265652525,13846.371675644954,lcdm,
68.01801801801801,0.0103660235595021,143.51332656522135,13844.588114375709,lcdm,
68.06306306306305,0.010367358450968655,143.51332656519014,13842.805498037085,lcdm,
68.10810810810811,0.010368692979086467,143.5133265651589,13841.023825724575,lcdm,
68.15315315315316,0.010370027144118922,143.51332656512767,13839.243096534934,lcdm,
68.1981981981982,0.010371360946329075,143.5133265650964,13837.463309566203,lcdm,
68.24324324324324,0.01037269438597967,143.51332656506514,13835.684463917687,lcdm,
68.28828828828829,0.010374027463333109,143.51332656503388,13833.906558689981,lcdm,
68.33333333333333,0.010375360178651472,143.51332656500253,13832.129592984938,lcdm,
68.37837837837837,0.010376692532196528,143.5133265649712,13830.35356590569,lcdm,
68.42342342342343,0.010378024524229717,143.5133265649398,13828.578476556619,lcdm,
68.46846846846847,0.010379356155012167,143.51332656490845,13826.804324043374,lcdm,
68.51351351351352,0.010380687424804667,143.51332656487702,13825.031107472876,lcdm,
68.55855855855856,0.010382018333867704,143.51332656484564,13823.258825953293,lcdm,
68.6036036036036,0.010383348882461434,143.51332656481418,13821.487478594045,lcdm,
68.64864864864865,0.010384679070845696,143.5133265647827,13819.717064505818,lcdm,
68.69369369369369,0.010386008899280022,143.51332656475125,13817.947582800536,lcdm,
68.73873873873873,0.01038733836802361,143.51332656471976,13816.17903259138,lcdm,
68.78378378378378,0.010388667477335346,143.51332656468824,13814.411412992773,lcdm,
