Galaxy,N_points,T,A_T,D_spatial,D_total_v3p_T,f_gas,R_disk,M_bar,v3o_MAE,v3o_bias,v3p_T_MAE,v3p_T_bias,MAE_delta,MAE_improvement_pct
NGC3917,17,6,-0.1,0.8019419882039571,0.8533809677681679,0.0223519383477311,2.63,11234104000.0,31.72991889712135,-28.582390308132904,37.06005343755455,-35.268892560164836,5.3301345404332,-16.798449935265253
NGC3949,7,4,0.1,0.7973483297845125,0.7492868121382866,0.0230133771224827,3.59,19481843000.0,13.469405478099139,-13.221768492893982,10.81793988249164,-7.791626049522013,-2.6514655956074993,19.685097459711233
NGC3953,8,4,0.1,0.841622493472645,0.7908922758117791,0.0053029858044717,4.89,71027156000.0,31.489180473443255,-31.489180473443255,21.75531129359015,-21.75531129359015,-9.733869179853105,30.91178948928909
NGC3972,10,4,0.1,0.7987038818322877,0.7505606559962646,0.0220036571462212,2.18,7337962000.0,28.297846050809774,-26.353360514553383,22.610686478584984,-19.420018571810072,-5.68715957222479,20.097499866291223
NGC3992,9,4,0.1,0.8731211119410185,0.8204922618370916,0.0190853031399099,4.96,115673667000.0,73.03027489484334,-73.03027489484334,55.5445370460645,-55.5445370460645,-17.485737848778847,23.94313573919398
NGC4010,12,7,-0.2,0.7793551395325682,0.8825420430961785,0.0419758666850325,2.81,8973156000.0,19.614312139285513,-16.358525497118567,25.84213005673992,-25.70903534649823,6.227817917454406,-31.751395986916652
NGC4013,36,3,0.2,0.8467649846957739,0.7477611383630698,0.009879696640178,3.53,39941611000.0,36.32670121778453,-36.32670121778453,8.643257330501049,-6.378312616015256,-27.68344388728348,76.20687527148885
NGC4051,7,4,0.1,0.822231934822176,0.7726705158430628,0.0074740740263816,4.65,47992701000.0,6.465543078918186,-3.2314597370734015,7.989798072342533,5.915963936685917,1.5242549934243472,-23.57504968754126
NGC4068,6,10,-0.5,0.7165853774979893,0.9778403220599649,0.1479036986756401,0.59,138482000.0,5.946192704507058,0.08725879514227793,7.079858371606876,-6.373163377454791,1.1336656670998178,-19.06540409025979
NGC4085,7,5,0.0,0.8628540688318063,0.8628540688318063,0.0162494542140741,1.65,11041417000.0,15.181174485524583,1.5462385391553315,15.181174485524583,1.5462385391553315,0.0,0.0
NGC4088,12,4,0.1,0.913053363439573,0.8580175294136131,0.0199875192415346,2.58,54737058000.0,14.191722318893717,4.247940391618137,18.47429026810957,15.865544198701548,4.282567949215853,-30.176520178346408
NGC4100,24,4,0.1,0.8961877506317878,0.8421685199111796,0.0137021569822693,2.15,30109566000.0,44.12824538302433,-44.12824538302433,31.90928789271736,-31.90928789271736,-12.21895749030697,27.689651796142964
NGC4138,7,0,0.5,0.9256507638479788,0.678339588866565,0.008863583040272,1.51,22252739000.0,33.83805435604977,-33.636706755707756,62.12510071872646,62.12510071872646,28.28704636267669,-83.59536888567995
NGC4157,17,3,0.2,0.9275651790303198,0.8191141659298211,0.0202963940117458,2.32,53904058000.0,27.16871526724333,-22.01687161976744,13.59290356108879,10.516880775432593,-13.57581170615454,49.968544970260595
NGC4183,23,6,-0.1,0.7543581757712061,0.8027449859873605,0.0792309922114394,2.79,5885298000.0,28.802565911651744,-28.802565911651744,34.72809809383227,-34.72809809383227,5.925532182180529,-20.572931593512727
NGC4214,14,10,-0.5,0.8285353012997763,1.1306053002222982,0.101770009037406,0.51,635138000.0,31.329096988488352,-31.329096988488352,41.28093490180017,-41.28093490180017,9.95183791331182,-31.76547960181728
NGC4217,19,3,0.2,0.8770549803517261,0.7745096247106068,0.0079261235211354,2.94,42990246000.0,36.038322652549425,16.336896426854494,37.0554148434477,37.0554148434477,1.0170921908982749,-2.822251747685942
NGC4389,6,4,0.1,0.791521128572133,0.743810855323663,0.0066774487743541,2.79,10735687000.0,29.911782695163193,29.911782695163193,35.02064013929458,35.02064013929458,5.1088574441313845,-17.07974912828415
NGC4559,32,6,-0.1,0.8266178364414057,0.8796395993888115,0.0738778493777531,2.1,10461363000.0,18.903238920459298,-17.679742862953127,25.141183152600238,-24.698007970509018,6.23794423214094,-32.999340792278225
NGC5005,18,4,0.1,0.771580579495455,0.7250722565308506,0.0019014804383412,9.45,89530240000.0,20.517614425880588,-9.738282177881576,17.889861362493516,-5.041432548647626,-2.627753063387072,12.807303075509923
