M_BH,phi_total,phi_sink,delta_flux,sigma_env_pred,sigma_bulge_sim,M_star,M_gas,R_disk_90,arm_contrast,v_flat,sink_saturation,morphology_index
78815492.45942527,4.5,0.7881549245942527,0.8248544612012771,178.26606241944208,196.50637984879063,737339534681.551,17747098272652.945,14.5,0.9172333792446236,402.7924080414232,1.0,1.3105278386960446
163197509.07844406,0.45,1.6319750907844406,0.0,210.73456867507625,190.85835982941188,0.0,743561132999.6732,0.25,0.0,4.748811018246025,0.2757395027296028,0.0
163197509.07844406,1.0285714285714285,1.6319750907844406,0.0,210.73456867507625,190.85835982941188,0.0,745171220677.2172,0.25,0.0,4.748811018246025,0.6302617205248063,0.0
163197509.07844406,1.607142857142857,1.6319750907844406,0.0,210.73456867507625,190.85835982941188,0.0,743145652385.1481,0.25,0.0,4.748811018246025,0.9847839383200099,0.0
163197509.07844406,2.1857142857142855,1.6319750907844406,0.25334472970646504,210.73456867507625,192.4307764530691,10120338215.615751,1258596007904.8125,2.5,0.9418665742619429,40.981359153765965,1.0,0.10933057370575693
163197509.07844406,2.7642857142857142,1.6319750907844406,0.40962141418650727,210.73456867507625,196.7264446968172,50884005754.61932,2474008063297.6235,4.5,0.9366480468998559,95.54193076402039,1.0,0.24934985465915901
163197509.07844406,3.3428571428571425,1.6319750907844406,0.5118023232696117,210.73456867507625,201.22372708116558,113730056583.45595,4197895492829.13,7.0,0.9322383144280012,146.70006826375135,1.0,0.4355512418180438
163197509.07844406,3.9214285714285713,1.6319750907844406,0.5838314886888494,210.73456867507625,205.22813178933535,187516993081.142,6053988004790.207,8.75,0.9289172119624255,191.84512966472164,1.0,0.5847552604415753
163197509.07844406,4.5,1.6319750907844406,0.6373388687145688,210.73456867507625,208.65147770020596,264184515144.08514,7857629295478.591,10.0,0.9263180692737915,230.7432685812147,1.0,0.7015832619630741
337921214.9580844,0.45,3.379212149580844,0.0,249.11672940966378,225.63749952588205,0.0,743291036262.5085,0.25,0.0,6.833384418283233,0.1331671348470435,0.0
337921214.9580844,1.0285714285714285,3.379212149580844,0.0,249.11672940966378,225.63749952588205,0.0,745034995432.6581,0.25,0.0,6.833384418283233,0.304382022507528,0.0
337921214.9580844,1.607142857142857,3.379212149580844,0.0,249.11672940966378,225.63749952588205,0.0,746390877171.8507,0.25,0.0,6.833384418283233,0.4755969101680125,0.0
337921214.9580844,2.1857142857142855,3.379212149580844,0.0,249.11672940966378,225.63749952588205,0.0,745003166570.8046,0.25,0.0,6.833384418283233,0.646811797828497,0.0
337921214.9580844,2.7642857142857142,3.379212149580844,0.0,249.11672940966378,225.63749952588205,0.0,748190320526.2626,0.25,0.0,6.833384418283233,0.8180266854889815,0.0
337921214.9580844,3.3428571428571425,3.379212149580844,0.0,249.11672940966378,225.63749952588205,0.0,747301718732.8485,0.25,0.0,6.833384418283233,0.9892415731494659,0.0
337921214.9580844,3.9214285714285713,3.379212149580844,0.13827012578994866,249.11672940966378,225.85498859657275,1388261894.842436,909370072596.3478,1.75,0.9389094156340599,16.192845677712818,1.0,0.050775024712836465
337921214.9580844,4.5,3.379212149580844,0.24906396675981243,249.11672940966378,227.12057944370386,11158347668.743345,1264285857712.6233,2.5,0.9434667098240127,43.274115427400936,1.0,0.09963783049899352
699708887.4920257,0.45,6.997088874920258,0.0,294.48962864490596,266.7640163368015,0.0,746651000969.5642,0.25,0.0,9.833017660341206,0.06431246023084543,0.0
699708887.4920257,1.0285714285714285,6.997088874920258,0.0,294.48962864490596,266.7640163368015,0.0,750586461143.783,0.25,0.0,9.833017660341206,0.14699990909907523,0.0
699708887.4920257,1.607142857142857,6.997088874920258,0.0,294.48962864490596,266.7640163368015,0.0,749297323433.7194,0.25,0.0,9.833017660341206,0.22968735796730505,0.0
699708887.4920257,2.1857142857142855,6.997088874920258,0.0,294.48962864490596,266.7640163368015,0.0,745958840281.7961,0.25,0.0,9.833017660341206,0.31237480683553487,0.0
699708887.4920257,2.7642857142857142,6.997088874920258,0.0,294.48962864490596,266.7640163368015,0.0,750617724203.6228,0.25,0.0,9.833017660341206,0.39506225570376474,0.0
