p,H0,omega_m_h2,omega_b_h2,omega_c_h2,theta_star,theta_err,theta_abs_err,theta_err_ppm,r_s_Mpc,D_M_Mpc,Omega_m0,Omega_b0,Omega_c0,Omega_r0,Omega_flux0,q0,z_acc,accepted_theta,accepted_omega_window,H0_distance_to_73,score
0.192,73.0,0.14300000000000002,0.02237,0.12063000000000001,0.010411594746101614,-1.6052538983849646e-06,1.6052538983849646e-06,-154.15567725434684,143.5133454165821,13783.99264630593,0.2683430287108276,0.041977857008819675,0.22636517170200793,7.843873146931883e-05,0.7315785325577031,-0.6690257327787155,0.7721157856141538,True,True,0.0,0.32558366740979783
0.16,73.0,0.14200000000000002,0.02237,0.11963000000000001,0.010414930665005486,1.7306650054865758e-06,1.7306650054865758e-06,166.19915160436523,143.76241066079632,13803.491860377218,0.2664665040345281,0.041977857008819675,0.22448864702570845,7.843873146931883e-05,0.7334550572340026,-0.6599954556162348,0.7767905350605346,True,True,0.0,0.35639236318893475
0.27199999999999996,73.0,0.14600000000000002,0.02237,0.12363000000000002,0.010411467966433956,-1.732033566043123e-06,1.732033566043123e-06,-166.33057715621743,142.77518357047956,13713.26157183401,0.2739726027397261,0.041977857008819675,0.23199474573090642,7.843873146931883e-05,0.7259489585288046,-0.6897886476432404,0.7567931460113649,True,True,0.0,0.24188437446450697
0.21799999999999997,73.0,0.14400000000000002,0.02237,0.12163000000000002,0.010411466361163439,-1.7336388365603306e-06,1.7336388365603306e-06,-166.48473442940985,143.26579670010491,13760.386071505834,0.2702195533871271,0.041977857008819675,0.22824169637830743,7.843873146931883e-05,0.7297020078814036,-0.6757493305914455,0.767144079828365,True,True,0.0,0.29692178894982635
0.20999999999999996,73.0,0.14400000000000002,0.02237,0.12163000000000002,0.010414964123367496,1.7641233674963591e-06,1.7641233674963591e-06,169.4122236676871,143.26579669984073,13755.76478255964,0.2702195533871271,0.041977857008819675,0.22824169637830743,7.843873146931883e-05,0.7297020078814036,-0.6727570861423384,0.7671113397172423,True,True,0.0,0.29701909396656845
0.136,73.0,0.14100000000000001,0.02237,0.11863000000000001,0.01041499334417743,1.7933441774312803e-06,1.7933441774312803e-06,172.21835530204743,144.0130090791111,13827.470101996994,0.26458997935822864,0.041977857008819675,0.22261212234940894,7.843873146931883e-05,0.735331581910302,-0.6539185791326609,0.7814251449418076,True,True,0.0,0.38824305254968083
0.12,73.0,0.14,0.02237,0.11763000000000001,0.010411403070634923,-1.7969293650763052e-06,1.7969293650763052e-06,-172.56264789654526,144.2651575845363,13856.456868088435,0.26271345468192914,0.041977857008819675,0.22073559767310946,7.843873146931883e-05,0.7372081065866015,-0.650818726719903,0.7862461633641233,True,True,0.0,0.42168727004987533
0.32999999999999996,73.0,0.14800000000000002,0.02237,0.12563000000000002,0.01041135045001876,-1.849549981239318e-06,1.849549981239318e-06,-177.61590877341433,142.29044324082562,13666.857524767043,0.2777256520923251,0.041977857008819675,0.2357477950835054,7.843873146931883e-05,0.7221959091762057,-0.7050977702361951,0.7458944268367397,True,True,0.0,0.192641284812278
0.236,73.0,0.14500000000000002,0.02237,0.12263000000000002,0.010415077764740942,1.877764740943269e-06,1.877764740943269e-06,180.32542743280348,143.01974812718737,13731.990423668694,0.2720960780634266,0.041977857008819675,0.23011822105460694,7.843873146931883e-05,0.7278254832051041,-0.6794379074562809,0.7620743192748174,True,True,0.0,0.2696993053669171
0.35,73.0,0.14900000000000002,0.02237,0.12663000000000002,0.010415116764175312,1.9167641753126824e-06,1.9167641753126824e-06,184.07061953219784,142.05023644596204,13638.852032323792,0.2796021767686246,0.041977857008819675,0.23762431975980491,7.843873146931883e-05,0.7203193844999062,-0.7093456436705328,0.740593589199649,True,True,0.0,0.17073392394812048
0.31999999999999995,73.0,0.14800000000000002,0.02237,0.12563000000000002,0.010415130826151642,1.93082615164257e-06,1.93082615164257e-06,185.42101867270102,142.29044324065754,13661.896870596816,0.2777256520923251,0.041977857008819675,0.2357477950835054,7.843873146931883e-05,0.7221959091762057,-0.7013969566972413,0.7461658408771539,True,True,0.0,0.1936470504927161
0.184,73.0,0.14300000000000002,0.02237,0.12063000000000001,0.01041522138466124,2.0213846612399805e-06,2.0213846612399805e-06,194.11752979295323,143.5133454162724,13779.192982650195,0.2683430287108276,0.041977857008819675,0.22636517170200793,7.843873146931883e-05,0.7315785325577031,-0.6660256000544642,0.772008289875695,True,True,0.0,0.32774899331422935
0.16799999999999998,73.0,0.14200000000000002,0.02237,0.11963000000000001,0.010411176799557754,-2.023200442244702e-06,2.023200442244702e-06,-194.2919028007435,143.7624106611553,13808.46886273817,0.2664665040345281,0.041977857008819675,0.22448864702570845,7.843873146931883e-05,0.7334550572340026,-0.6630034632623119,0.7769729160677282,True,True,0.0,0.3585867472956855
0.144,73.0,0.14100000000000001,0.02237,0.11863000000000001,0.010411105241925508,-2.094758074491429e-06,2.094758074491429e-06,-201.16372243800458,144.01300907952714,13832.634070356617,0.26458997935822864,0.041977857008819675,0.22261212234940894,7.843873146931883e-05,0.735331581910302,-0.656934462488822,0.7816900127277923,True,True,0.0,0.3907735287854909
0.112,73.0,0.14,0.02237,0.11763000000000001,0.010415432956702806,2.2329567028068348e-06,2.2329567028068348e-06,214.43520750651433,144.26515758405415,13851.095598595635,0.26271345468192914,0.041977857008819675,0.22073559767310946,7.843873146931883e-05,0.7372081065866015,-0.6477949668662877,0.7858915800300836,True,True,0.0,0.4235951940906981
0.29,73.0,0.14700000000000002,0.02237,0.12463000000000002,0.010415535531713854,2.33553171385438e-06,2.33553171385438e-06,224.28568680658975,142.53208715186835,13684.566359346383,0.2758491274160256,0.041977857008819675,0.23387127040720593,7.843873146931883e-05,0.7240724338525052,-0.6933897247171075,0.751621763106497,True,True,0.0,0.22061245698428256
0.24599999999999997,73.0,0.14500000000000002,0.02237,0.12263000000000002,0.010410862756230556,-2.337243769443692e-06,2.337243769443692e-06,-224.4500988594949,143.01974812746752,13737.550045203981,0.2720960780634266,0.041977857008819675,0.23011822105460694,7.843873146931883e-05,0.7278254832051041,-0.6831683449203254,0.7620267084233993,True,True,0.0,0.2726953926831923
0.262,73.0,0.14600000000000002,0.02237,0.12363000000000002,0.01041553889519541,2.338895195410154e-06,2.338895195410154e-06,224.60868853091787,142.77518357024053,13707.901723270545,0.2739726027397261,0.041977857008819675,0.23199474573090642,7.843873146931883e-05,0.7259489585288046,-0.68606806836946,0.7569166073202119,True,True,0.0,0.24609285992255794
0.30199999999999994,73.0,0.14700000000000002,0.02237,0.12463000000000002,0.010410829749810266,-2.3702501897333167e-06,2.3702501897333167e-06,-227.619770073879,142.5320871521089,13690.751897533093,0.2758491274160256,0.041977857008819675,0.23387127040720593,7.843873146931883e-05,0.7240724338525052,-0.6978425596916296,0.7513797157233681,True,True,0.0,0.22039371521083767
