Galaxy,MAE_v3o,MAE_v3q,T,f_gas,R_rem,D_spatial,Imp_v3q
NGC3949,13.469405478099139,11.953220398406257,4,0.0230133771224827,0.5861919737265103,0.7973483297845125,1.5161850796928817
NGC3953,31.489180473443255,5.379585802730681,4,0.0053029858044717,0.5968182085173169,0.841622493472645,26.109594670712575
NGC3972,28.297846050809774,9.58265090413198,4,0.0220036571462212,0.5867978057122673,0.7987038818322877,18.715195146677793
NGC3992,73.03027489484336,16.42385684749372,4,0.0190853031399099,0.5885488181160541,0.8731211119410185,56.606418047349635
NGC4010,19.61431213928551,13.952378009264558,7,0.0419758666850325,0.28740723999449025,0.7793551395325682,5.661934130020951
NGC4013,36.32670121778453,11.625932363236759,3,0.009879696640178,0.6930842123518753,0.8467649846957739,24.700768854547775
NGC4051,6.46554307891819,31.80542448641933,4,0.0074740740263816,0.595515555584171,0.822231934822176,-25.33988140750114
NGC4068,5.946192704507058,5.946192704507058,10,0.1479036986756401,0.0,0.7165853774979893,0.0
NGC4085,15.181174485524583,22.489028793374253,5,0.0162494542140741,0.49187527289296296,0.8628540688318063,-7.30785430784967
NGC4088,14.191722318893717,41.0712077467982,4,0.0199875192415346,0.5880074884550792,0.913053363439573,-26.879485427904484
NGC4100,44.12824538302433,8.992190725924917,4,0.0137021569822693,0.5917787058106384,0.8961877506317878,35.13605465709941
NGC4138,33.83805435604977,11.552487852147253,0,0.008863583040272,0.991136416959728,0.9256507638479788,22.285566503902515
NGC4157,27.168715267243336,21.41198260265493,3,0.0202963940117458,0.6857925241917779,0.9275651790303198,5.756732664588405
NGC4183,28.80256591165175,5.627935833640329,6,0.0792309922114394,0.36830760311542426,0.7543581757712061,23.174630078011422
NGC4214,31.32909698848835,31.329096988488356,10,0.101770009037406,0.0,0.8285353012997763,-7.105427357601002e-15
NGC4217,36.03832265254942,48.55198379513806,3,0.0079261235211354,0.6944517135352052,0.8770549803517261,-12.513661142588639
NGC4389,29.911782695163193,51.52199346727364,4,0.0066774487743541,0.5959935307353875,0.791521128572133,-21.610210772110445
NGC4559,18.903238920459295,9.602225749656567,6,0.0738778493777531,0.3704488602488988,0.8266178364414057,9.301013170802728
NGC5005,20.517614425880588,15.656134248097588,4,0.0019014804383412,0.5988591117369952,0.771580579495455,4.861480177782999
NGC5033,52.26385456279259,16.126395695255454,5,0.0265113031244134,0.4867443484377933,0.8195808162733863,36.137458867537134
NGC5055,24.97846837466783,30.46928842259417,4,0.0199823824719053,0.5880105705168568,0.907497188455279,-5.490820047926338
NGC5371,15.949407153675361,36.40691284780161,4,0.0086609401582354,0.5948034359050588,0.8445383984383777,-20.457505694126247
NGC5585,16.95274975952243,13.180756977676682,7,0.1320320006795101,0.2603903997961469,0.751766022015195,3.771992781845748
NGC5907,54.439256765006455,6.750643238034332,5,0.0308956060362069,0.48455219698189655,0.8460995625420639,47.68861352697212
NGC5985,110.22140392305901,59.310914315105045,3,0.0145501997272308,0.6898148601909384,0.8202971665682701,50.91048960795397
NGC6015,41.424305064327626,13.551171446257502,6,0.0460749736556483,0.3815700105377407,0.846300468580391,27.873133618070124
NGC6195,12.363481564344353,38.11295403489978,3,0.0140210276058228,0.690185280675924,0.7726802914412542,-25.749472470555425
NGC6503,33.475633767822565,7.546973074716301,6,0.0348566643804779,0.38605733424780886,0.793650293217885,25.928660693106263
NGC6674,79.80307211389861,15.43623405219657,3,0.0383311420475141,0.6731682005667401,0.8436096953818946,64.36683806170204
NGC6789,18.41560307321457,18.41560307321457,11,0.0432636191423815,0.0,0.7347323189089722,0.0
NGC6946,21.992604546480987,10.895650397340958,6,0.0222841727734813,0.3910863308906075,0.8864729334755737,11.096954149140029
NGC7331,33.85951663820643,29.243572272007857,3,0.011609283511594,0.6918735015418842,0.8778620875224767,4.615944366198573
NGC7793,14.307597746316164,10.303409158740434,7,0.031463824967791,0.2905608525096627,0.8297181688928666,4.0041885875757295
NGC7814,50.78755531946237,20.572854826512923,2,0.0038043874898714,0.7969564900081029,0.8878824192794408,30.214700492949447
PGC51017,6.401247056722132,6.401247056722132,11,0.2564734776894073,0.0,0.7126053480278655,0.0
UGC00128,50.4711621509719,31.408469285196404,8,0.1412228329558381,0.1717554334088324,0.6775940778310483,19.062692865775496
UGC00191,18.170497405345866,12.197746908061207,9,0.1512926693539575,0.08487073306460426,0.7265682987407187,5.972750497284659
UGC00634,38.79534552961386,28.92509111229266,9,0.2458415313479125,0.07541584686520875,0.7059742952816079,9.870254417321203
UGC00731,29.446269817039937,29.446269817039937,10,0.598089744195943,0.0,0.6276822083855171,0.0
UGC00891,18.557934058174173,15.00226156119625,9,0.2333677702891064,0.07666322297108936,0.6507578177855904,3.555672496977923
UGC01230,34.78146590721327,24.71117165279794,9,0.1833130054724459,0.08166869945275541,0.6899283446616628,10.070294254415327
UGC01281,14.246958803067718,11.35064070008223,8,0.1813619539707424,0.16372760920585153,0.6310082009077059,2.8963181029854876
UGC02023,7.786690917252803,7.786690917252803,10,0.0884267835264502,0.0,0.700329823477823,0.0
UGC02259,36.46003151614332,25.16999970477485,8,0.0707841612062891,0.1858431677587422,0.7098748585374535,11.290031811368468
UGC02455,24.050587031293638,24.050587031293638,10,0.0552990500176306,0.0,0.8144400606837829,0.0
