Galaxy,SPARC_name,match_key,ngc_id,ugc_id,ic_id,pgc_id,Mb_proxy_Msun,Mstar_proxy_Msun,Mgas_proxy_Msun,Rb_kpc,Sigma_b_Msun_kpc2,V_obs_kms,V_b_kms,morphology_age_gyr,Morphology_T,z0mgs_match_status,z0mgs_match_method,z0mgs_PGC,z0mgs_NGC,z0mgs_UGC,z0mgs_IC,z0mgs_Dist_Mpc,z0mgs_e_Dist_dex,z0mgs_logMstar,z0mgs_e_logMstar,z0mgs_GammaStar,z0mgs_method_GammaStar,z0mgs_logSFR,z0mgs_e_logSFR,z0mgs_method_logSFR,z0mgs_DelMS,z0mgs_Flags,z0mgs_Mstar_Msun,z0mgs_SFR_Msun_yr,z0mgs_sSFR_yr,final_Mstar_for_SFH_Msun,final_SFR_for_SFH_Msun_yr,final_sSFR_for_SFH_yr,SFH_source,source_sparc_proxy_file,source_z0mgs_catalog,source_z0mgs_url
NGC2366,NGC2366,NGC2366,2366,,,,978510000.0,118000000.0,860510000.0000001,0.65,368602848.2008296,50.2,80.46483650638955,6.0,10.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,118000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
NGC2403,NGC2403,NGC2403,2403,,,,9275170000.0,5020500000.0,4254670000.0,1.39,764033514.5787771,131.2,169.40792241227436,8.2,6.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,5020500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
NGC2683,NGC2683,NGC2683,2683,,,,42077480000.0,40207500000.0,1869980000.0,2.18,1409148837.398023,154.0,288.12224605685003,9.85,3.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,40207500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
NGC2841,NGC2841,NGC2841,2841,,,,107061250000.0,94060500000.0,13000750000.000002,3.64,1286025778.2195067,284.8,355.6686941281586,9.85,3.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,94060500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
NGC2903,NGC2903,NGC2903,2903,,,,44325660000.0,40931500000.0,3394160000.0000005,2.33,1299461750.043416,184.6,286.04201074340244,9.3,4.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,40931500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
NGC2915,NGC2915,NGC2915,2915,,,,996140000.0,320500000.0,675640000.0,0.55,524101173.5919359,83.5,88.2590040464582,5.449999999999999,11.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,320500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
NGC2976,NGC2976,NGC2976,2976,,,,1914260000.0,1685500000.0,228760000.0,1.01,298660858.11498046,85.4,90.28590438870914,8.75,5.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,1685500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
NGC2998,NGC2998,NGC2998,2998,,,,106640830000.0,75451000000.0,31189830000.0,6.2,441530052.8075568,209.9,271.9857124317082,8.75,5.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,75451000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
NGC3109,NGC3109,NGC3109,3109,,,,731410000.0,97000000.0,634410000.0,1.56,47833463.56296974,66.2,44.905374750405535,6.55,9.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,97000000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
NGC3198,NGC3198,NGC3198,3198,,,,33595270000.0,19139500000.0,14455770000.0,3.14,542299209.4006712,150.1,214.51339742260808,8.75,5.0,pending_z0MGS_table4_download,,,,,,,,,,,,,,,,,,,,19139500000.0,,,SPARC_proxy_only_until_z0MGS_match,flux_missing_history_age_scan_results.csv,J/ApJS/244/24/table4 (Leroy et al. 2019 z0MGS),https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/244/24
