PGC,NGC,UGC,IC,ra,dec,Dist,logMstar,logSFR,GammaStar,PGC_NAME
1913,,,,7.82404947,28.993227,68.8335266,9.54826164,-0.2810871899999999,0.2726523579999999,PGC1913
1914,,,,7.82849979,8.47508335,63.4745903,9.91464996,0.712470531,0.1999999879999999,PGC1914
1921,,,,7.84954166,8.46675014,60.7016144,9.85807705,0.4192259609999999,0.1999999879999999,PGC1921
1924,,,,7.858833309999999,6.20674992,27.0,9.23015022,-0.897562563,0.345822304,PGC1924
1926,,,,7.86743402,-19.7612705,101.344513,10.3461771,-0.4788664879999999,0.5,PGC1926
1927,,,,7.87233257,8.40063858,61.71632,9.706496240000002,-0.388596475,0.3375384209999999,PGC1927
1932,,,,7.89890432,-10.5063248,47.4199982,10.1203899,0.126386195,0.312291533,PGC1932
1941,,,,7.940623279999999,-5.15270805,,,,,PGC1941
1951,,,,8.004689219999998,-64.390152,36.3914909,9.0519228,-0.393028617,0.1999999879999999,PGC1951
1952,,,,8.00877571,-64.2533875,33.0999985,10.3421135,0.3899601699999999,0.30203563,PGC1952
1953,,,,7.99065733,-8.34430122,71.219696,9.263823510000002,-0.341640174,0.222096071,PGC1953
1956,,,,8.03936768,-40.2671051,17.7991829,8.947649,-2.1109488,0.5,PGC1956
1970,,,,8.128620149999998,2.5740993,39.9900017,8.66755962,-0.908643544,0.215804026,PGC1970
1971,,,,8.13516617,23.3951111,68.8335266,9.47736263,-0.4813505109999999,0.3036354179999999,PGC1971
1972,,,,8.20395565,-10.0120897,,,,,PGC1972
1977,,,,8.16720963,-25.6075382,35.0,9.72372627,-0.0763345435,0.265809059,PGC1977
1979,,,,8.177663799999998,-11.3181458,56.9639359,10.3991413,0.0504987574999999,0.403535485,PGC1979
1986,,,,8.21021271,11.7368135,71.219696,9.97935772,0.105491899,0.2831777039999999,PGC1986
1996,,,,8.26672459,-8.114076609999998,50.4661369,9.2887392,-0.634979308,0.2951361539999999,PGC1996
2000,,,,8.28070927,-32.2583733,17.0,9.36621666,-0.6783693429999998,0.324842513,PGC2000
2007,,,,8.31180477,0.201025203,59.3198471,8.914165499999998,-0.5917897819999999,0.2010192419999999,PGC2007
2021,,,,8.37847996,22.902895,67.639473,9.94307613,0.0894094332999999,0.278383672,PGC2021
2022,,,,8.400626179999998,2.6809721,63.4745903,9.92398548,-0.288108647,0.367544293,PGC2022
2028,,,,8.45933437,30.7234726,70.0165176,10.4062433,-1.29450941,0.5,PGC2028
2031,,,,8.47840977,31.4500484,68.8335266,9.690724370000002,-0.203113824,0.2879471479999999,PGC2031
2035,,,,8.51167202,-9.70530033,52.8201675,11.0102634,0.540496528,0.4362586139999999,PGC2035
2037,,,,8.51268578,-32.9853058,62.8926926,9.87773037,0.117592558,0.256588131,PGC2037
2044,,,,8.54621983,-30.7741852,20.7000008,8.62490749,-0.872751355,0.1999999879999999,PGC2044
2052,,,,8.5645895,-27.8036175,14.8999996,9.77501774,0.0692611783999999,0.244232461,PGC2052
2053,,,,8.56455421,-31.78615,20.7000008,10.0624495,-1.63101196,0.5,PGC2053
2071,,,,8.63615036,-30.0178814,20.7000008,8.85751915,-1.07867169,0.298155636,PGC2071
2076,,,,8.66707897,-10.7665157,88.6339035,11.0776768,-0.691553533,0.5,PGC2076
2081,,,,8.694935799999998,-8.39649582,20.0,10.4628448,0.4698362349999999,0.3120462,PGC2081
2085,,,,8.70393181,28.4101524,62.2873993,9.28325367,-0.832643032,0.342814177,PGC2085
2118,,,,8.863181109999998,2.93507099,60.5340958,9.41500854,-0.403523654,0.270117402,PGC2118
2122,,,,8.84616089,-23.3749905,53.4318123,9.9059782,0.0090112108699999,0.288696885,PGC2122
2138,,,,8.914487839999998,-20.1253033,45.7720337,10.0722628,-0.2118846769999999,0.3864116369999999,PGC2138
2142,,,,8.94426155,-25.3740997,14.8999996,8.85711956,-0.899042666,0.2556767759999999,PGC2142
2151,,,,9.00829029,-9.888469700000002,70.0487442,9.70752811,0.102037743,0.222101837,PGC2151
2154,,,,9.01676655,23.9576225,77.19691469999998,11.0836658,-0.104362488,0.5,PGC2154
