name,Mb,Mstar,Rb,Sigma_b,V_obs,V_b,age_gyr,Morphology_T,Mgas,Galaxy,L_chi,D_hist,G_bound,V_b_safe,Y_residual,D_hist_residual,Y_residual_controlled
NGC4085,12656170000.0,10862000000.0,1.65,739868509.1318103,131.5,181.63074114841132,8.75,5.0,1794170000.0,NGC4085,34.04684698664463,14256375000.0,0.8420180880017595,181.63074114841132,-0.4758292344775985,-543351267.7664299,-0.2896643072377629
NGC4088,64583580000.0,53643000000.0,2.58,1544197464.030237,171.7,328.11900200958706,9.3,4.0,10940580000.000002,NGC4088,50.19365223157567,74831985000.0,0.9932363327682661,328.11900200958706,-0.7261720176458207,-7043414932.793091,-0.06291350537343265
NGC4100,33822660000.0,29697000000.0,2.15,1164530779.3437588,158.2,260.11465863631827,9.3,4.0,4125660000.0,NGC4100,42.783045879500925,41427315000.0,0.9782636553616115,260.11465863631827,-0.6301008752974561,-651381554.9265137,-0.2304371209429431
NGC4138,24027890000.0,22055500000.0,1.51,1677188485.4034126,147.3,261.6070968060146,11.5,0.0,1972390000.0,NGC4138,29.18338843323366,38045737500.0,0.9743315918779313,261.6070968060146,-0.6829655539594414,6191362482.503864,-0.08786787752606018
NGC4157,63750580000.0,52810000000.0,2.32,1885073560.488876,184.7,343.77813805074624,9.85,3.0,10940580000.000002,NGC4157,44.420867826014465,78026775000.0,0.9937754905136021,343.77813805074624,-0.7113461989368555,-4060325676.181366,0.09597191813408446
NGC4183,10081980000.0,5419000000.0,2.79,206137761.99607235,110.6,124.66685153485228,8.2,6.0,4662980000.0,NGC4183,63.76713675095376,6665369999.999999,0.538116785283204,124.66685153485228,-0.212939221223426,-1150357638.9691439,-0.3631650718579003
NGC4214,1216880000.0,570500000.0,0.51,744607716.8383914,80.1,101.30222072164683,6.0,10.0,646380000.0000001,NGC4214,10.518196781497402,513450000.0,0.0068659403652436,101.30222072164683,-0.37478829483368103,-1956467003.99366,-0.11892391546478315
NGC4217,46056960000.0,42649500000.0,2.94,848048596.3933663,181.3,259.56979048779453,9.85,3.0,3407460000.0,NGC4217,60.006595749652384,63014636250.0,0.9904880287417095,259.56979048779453,-0.5121488702572143,7460351302.599136,-0.24342436818485752
NGC4559,17417130000.0,9688500000.0,2.1,628576492.9646583,121.2,188.8681936321125,8.2,6.0,7728630000.000001,NGC4559,43.90115659197691,11916855000.0,0.7883186268461213,188.8681936321125,-0.5881988203989089,-7837513766.798737,-0.4659376180703707
NGC5005,91062400000.0,89360000000.0,9.45,162291437.41565368,262.2,203.57939490541008,9.3,4.0,1702400000.0,NGC5005,220.1574965350554,124657200000.00002,0.9975520362087039,203.57939490541008,0.6588141691456277,26468601389.157913,0.1803030727102704
NGC5033,70302120000.0,55254500000.0,5.16,420232028.86844224,194.2,242.0692013497236,8.75,5.0,15047620000.0,NGC5033,111.40274388426992,72521531250.0,0.9928016538509181,242.0692013497236,-0.35639504874102784,-8715640707.385529,-0.35646444520959114
NGC5055,92051260000.0,76461000000.0,3.2,1430704399.1052012,179.0,351.73862128299544,9.3,4.0,15590260000.0,NGC5055,62.6370511229355,106663095000.0,0.9966594146155133,351.73862128299544,-0.7410201660497135,-9272116566.672302,-0.027177020973557897
NGC5371,185065900000.0,170196500000.0,7.44,532109072.99164623,209.5,327.0822008683224,9.3,4.0,14869400000.0,NGC5371,157.62249605662493,237424117500.0,0.9993239780320272,327.0822008683224,-0.589744670195074,11957857539.816956,-0.1385681136268686
NGC5585,3709890000.000001,1471500000.0,1.53,252230907.69669428,90.3,102.1209810527517,7.649999999999999,7.0,2238390000.0000005,NGC5585,34.409066036329435,1688546249.9999998,0.06956753439580508,102.1209810527517,-0.2181102066064085,-729131351.0411694,-0.23971818088849906
NGC5907,115675750000.0,87712500000.0,5.34,645624409.3886263,215.0,305.2324557567308,8.75,5.0,27963250000.0,NGC5907,111.3956366321498,115122656250.0,0.9971309721192897,305.2324557567308,-0.5038471410782497,-25111363705.731018,-0.1765366816701583
NGC5985,119773380000.0,104364000000.0,7.01,387921991.97445583,293.6,271.0823994662867,9.85,3.0,15409380000.0,NGC5985,152.31538901859562,154197810000.0,0.9983987770920021,271.0823994662867,0.17303092108590618,12870270199.667755,0.23588834626474364
NGC6015,23823720000.0,16064499999.999998,2.3,716760453.8444706,154.1,211.0673450998005,8.2,6.0,7759220000.0,NGC6015,47.57986783106267,19759334999.999996,0.9110209282294859,211.0673450998005,-0.4669558486159847,-8059182761.496216,-0.29985480608486353
NGC6195,223344310000.0,195538000000.0,13.94,182923489.210516,251.7,262.5041881639109,9.85,3.0,27806310000.0,NGC6195,321.66701858815827,288907395000.0,0.9995433447228216,262.5041881639109,-0.08062231700250085,28808968229.468414,-0.2992097832340204
NGC6503,8742020000.0,6422500000.0,2.16,298211525.9791261,116.3,131.93475035417515,8.2,6.0,2319520000.0,NGC6503,47.931069020523815,7899674999.999998,0.6207083376781355,131.93475035417515,-0.2229641966338607,240035883.21494675,-0.2739765825669368
NGC6674,150106450000.0,107327000000.0,6.04,654855694.5823767,241.3,326.93497638879364,9.85,3.0,42779450000.0,NGC6674,125.85503886222843,158575642500.0,0.9984858353090711,326.93497638879364,-0.45525672974605824,-24842460671.984924,-0.002895100855338173
NGC6946,40627600000.0,33086500000.0,2.44,1086079576.3840847,158.9,267.6060009955914,8.2,6.0,7541100000.0,NGC6946,48.82544528726209,40696394999.99999,0.9774935911211898,267.6060009955914,-0.647421278906038,-9413279328.166702,-0.2689554287158275
NGC7331,140034610000.0,125315500000.0,5.02,884398675.6339487,239.0,346.3745797558128,9.85,3.0,14719110000.0,NGC7331,102.11679802630782,185153651250.0,0.9988888906884513,346.3745797558128,-0.5238938645515985,12079562744.988647,0.06975340521997564
NGC7814,38687600000.0,37264500000.0,2.54,954386939.10999,218.9,255.946510864325,10.4,2.0,1423100000.0000005,NGC7814,51.35480397008595,58132620000.0,0.9888418750187712,255.946510864325,-0.26853576497272313,11040722622.656532,0.040822574607391915
PGC51017,344830000.0,77500000.0,0.53,195376999.02591053,18.6,52.89867129800463,5.449999999999999,11.0,267330000.0,PGC51017,12.16553781415821,63356249.999999985,0.00010525168307345598,52.89867129800463,-0.8763664438822446,-70077805.54716976,-0.8181185549047023
UGC00128,15893230000.0,6010000000.0,5.95,71449364.20299141,129.3,107.18346153569172,7.1,8.0,9883230000.0,UGC00128,148.02068660841115,6400650000.0,0.5179202449793402,107.18346153569172,0.4552630163306129,-1707543575.6601286,-0.08485656936735025
UGC00731,2564810000.0,161500000.0,2.3,77164875.1590783,73.3,69.25383987815813,6.0,10.0,2403310000.0,UGC00731,56.86690359377013,145350000.0,0.0005537138224950813,69.25383987815813,0.12026361899850527,1282452774.2082438,-0.06085576126349504
UGC01230,12361900000.0,3810000000.0,4.34,104454197.95534526,103.7,110.6822363754832,6.55,9.0,8551900000.0,UGC01230,104.73720392857945,3743325000.0,0.2687175606155056,110.6822363754832,-0.12218770086996751,-3399790064.9176617,-0.47938839474249134
UGC01281,567520000.0,176500000.0,1.63,33995864.843807615,55.2,38.69696999282718,7.1,8.0,391020000.0,UGC01281,43.0327236983574,187972500.0,0.0009257255397346511,38.69696999282718,1.0348117371194314,2532136283.521064,0.9069757125967842
UGC02259,1519520000.0,862500000.0,1.62,92150251.15340526,86.2,63.514938279835846,7.1,8.0,657020000.0,UGC02259,39.48940688305728,918562500.0,0.021647542335149147,63.514938279835846,0.84188610168205,1881671782.3956666,0.741050426362477
UGC02487,268868290000.0,244977500000.0,7.89,687393957.7004666,332.0,382.8348525837728,11.5,0.0,23890790000.000004,UGC02487,163.76680057796705,422586187500.0,0.9997865083754046,382.8348525837728,-0.24793871771310777,88966763871.38928,0.7035291584520331
UGC02885,255062250000.0,201762500000.0,11.4,312360863.9861556,289.5,310.20646515137383,8.75,5.0,53299750000.00001,UGC02885,252.0331342294769,264813281250.0,0.9994565137722728,310.20646515137383,-0.12904554222872974,-42346001935.53955,0.19037249183258484
UGC02916,93029590000.0,62076500000.0,6.15,391463258.7034795,182.7,255.0663532121776,10.4,2.0,30953090000.0,UGC02916,133.53193837941072,96839340000.0,0.9959501575473141,255.0663532121776,-0.48693693785192776,-11665424639.502075,-0.4796731269698827
UGC02953,139970740000.0,129758999999.99998,3.55,1767667935.6659772,264.9,411.7983765413415,10.4,2.0,10211740000.0,UGC02953,68.32216446557979,202424040000.0,0.9990702289772342,411.7983765413415,-0.5861960267768982,24325455051.756042,0.4884936037768195
UGC03205,69691410000.0,56821000000.0,3.19,1089978714.0991092,219.6,306.5310419537026,10.4,2.0,12870410000.0,UGC03205,63.81496859763377,88640760000.0,0.9951701398015728,306.5310419537026,-0.4867656106471992,2437452925.6574707,-0.023120754704829494
UGC03546,54225750000.0,50668000000.0,3.79,600824009.5352541,196.9,248.06377937245,10.95,1.0,3557750000.0,UGC03546,79.51787136184394,83222190000.0,0.994524279456427,248.06377937245,-0.3699649364331732,19457436633.683334,-0.23967155056823375
UGC03580,12445100000.0,6633000000.0,2.43,335433145.7387842,126.2,148.41446670165763,10.95,1.0,5812100000.0,UGC03580,53.41744527297745,10894702500.0,0.7568462049598693,148.41446670165763,-0.2769534835405248,-1056558725.4814987,-0.3252737960569826
UGC04278,2137780000.0000005,653500000.0,2.21,69662425.88050862,91.4,64.50086596563446,7.649999999999999,7.0,1484280000.0000005,UGC04278,55.090625617702905,749891249.9999999,0.01453231471064021,64.50086596563446,1.007988867718905,2258855526.5759416,0.8324897074110724
UGC04305,1285700000.0,368000000.0,1.16,152070087.94088128,34.5,69.04321477186939,6.0,10.0,917700000.0,UGC04305,27.165631399283637,331200000.0,0.0028683292454345613,69.04321477186939,-0.7503128565765229,456897522.9092529,-0.7767896203589431
UGC04325,1914740000.0,1013000000.0,1.86,88085424.828239,90.9,66.53935860649274,6.55,9.0,901740000.0,UGC04325,45.50361896967171,995272500.0,0.025318761033736394,66.53935860649274,0.8662531163454211,1983062819.8164625,0.7376625330614983
UGC04499,2239000000.0,776000000.0,1.73,119064425.00008474,72.8,74.60778946299718,7.1,8.0,1463000000.0000002,UGC04499,41.31510489854462,826440000.0,0.017595787497031543,74.60778946299718,-0.04787402465318912,1041049218.7856076,-0.14826017466668068
UGC05005,6163690000.0,2050000000.0,3.2,95798997.18614104,98.9,91.01764244828443,6.0,10.0,4113690000.0,UGC05005,77.76182050504046,1845000000.0,0.08195103114475184,91.01764244828443,0.180705044856703,254428951.98500323,-0.08013501758732708
UGC05253,107597680000.0,85791000000.0,8.07,262951691.8601021,213.7,239.4665534509161,10.4,2.0,21806680000.000004,UGC05253,180.88759112616847,133833960000.0,0.9978755432820439,239.4665534509161,-0.20362188447775031,10918240475.71405,-0.3834991374599037
UGC05716,1749020000.0000002,294000000.0,1.14,214192965.9638249,73.1,81.23162468705304,6.55,9.0,1455020000.0000002,UGC05716,25.97560987943652,288855000.0,0.002183264719403788,81.23162468705304,-0.19018750223871553,-362385298.999681,-0.19001272994500257
UGC05721,1012960000.0,265500000.0,0.38,1116465312.703368,79.7,107.07412328800427,7.649999999999999,7.0,747460000.0000001,UGC05721,7.58719587184032,304661249.99999994,0.002428144127434872,107.07412328800427,-0.44595174862438836,-2972554938.5610795,-0.04710323699592822
UGC05986,5894610000.0,2347500000.0,1.67,336389371.8307997,113.0,123.21099933182632,6.55,9.0,3547110000.0,UGC05986,36.70239526533644,2306418750.0,0.1224216070112612,123.21099933182632,-0.158880063482906,-2817119630.9179745,-0.15507315248651637
UGC06399,2044420000.0,1148000000.0,2.05,77425234.68314877,85.0,65.49200815962577,6.55,9.0,896420000.0000001,UGC06399,50.67206192555132,1127910000.0,0.03228438209532508,65.49200815962577,0.6844620728690864,2388846859.254244,0.5302301521372295
UGC06446,2328070000.0,494000000.0,1.49,166895116.60013008,82.2,81.97568613056667,7.649999999999999,7.0,1834070000.0,UGC06446,34.63507211383451,566864999.9999999,0.008356238074239053,81.97568613056667,0.005480180288930289,35504644.627681434,-0.049117650562180044
UGC06614,91286040000.0,62175000000.0,5.1,558578412.1985576,199.8,277.4580138865741,10.95,1.0,29111040000.000004,UGC06614,107.62886550202569,102122437500.0,0.9963568526794818,277.4580138865741,-0.4814430951932061,-6786926473.180908,-0.3011737884491011
UGC06628,3864500000.0,1869500000.0,2.82,77341969.41535003,41.8,76.77189824362218,6.55,9.0,1995000000.0,UGC06628,69.7109832470165,1836783750.0,0.08128195453108931,76.77189824362218,-0.7035523543737802,2432656746.5342426,-0.9390516197474543
UGC06667,1774470000.0,698500000.0,5.15,10648154.279131887,83.8,38.4955823154531,8.2,6.0,1075970000.0,UGC06667,149.1937397878177,859154999.9999999,0.018989457280194102,38.4955823154531,3.738776763653967,9448322768.602142,3.189011760049765
UGC06786,43393400000.0,36703500000.0,3.6,532891520.64535886,219.4,227.6883274188156,11.5,0.0,6689900000.000001,UGC06786,76.25998475746037,63313537500.0,0.9905767838717865,227.6883274188156,-0.07147903764483274,13339074471.594917,-0.0066421342721879745
UGC06787,55817900000.0,49128000000.0,5.37,308066910.7292776,248.1,211.43641237591623,10.4,2.0,6689900000.000001,UGC06787,118.85241194759602,76639680000.0,0.993549604334056,211.43641237591623,0.37687326192651033,14910333092.957092,0.22639088602254637
